algorithm,features,training_time,testing_time,best_estimator,train_accuracy,train_precision_0,train_precision_1,train_recall_0,train_recall_1,train_f1_0,train_f1_1,train_mcc,train_support_0,train_support_1,train_support,train_macro_avg_precision,train_macro_avg_recall,train_macro_avg_f1,train_weighted_avg_precision,train_weighted_avg_recall,train_weighted_avg_f1,test_accuracy,test_precision_0,test_precision_1,test_recall_0,test_recall_1,test_f1_0,test_f1_1,test_mcc,test_support_0,test_support_1,test_support,test_macro_avg_precision,test_macro_avg_recall,test_macro_avg_f1,test_weighted_avg_precision,test_weighted_avg_recall,test_weighted_avg_f1
SGDClassifier,tfidf,601,1,,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9066,0.87166362,0.948785872,0.9536,0.8596,0.910792741,0.901993704,0.816816703,5000,5000,10000,0.910224746,0.9066,0.906393223,0.910224746,0.9066,0.906393223
SGDClassifier,tfidf,558,1,,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9068,0.877365492,0.941214751,0.9458,0.8678,0.910298364,0.90301769,0.816086322,5000,5000,10000,0.909290121,0.9068,0.906658027,0.909290121,0.9068,0.906658027
SGDClassifier,tfidf,543,1,,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9079,0.875806154,0.945987317,0.9506,0.8652,0.911671622,0.903791915,0.818791252,5000,5000,10000,0.910896736,0.9079,0.907731768,0.910896736,0.9079,0.907731768
SGDClassifier,tfidf,586,1,,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9067,0.873324766,0.946628597,0.9514,0.862,0.910692065,0.902334345,0.816670108,5000,5000,10000,0.909976681,0.9067,0.906513205,0.909976681,0.9067,0.906513205
SGDClassifier,tfidf,653,1,,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9107,0.882331037,0.943616332,0.9478,0.8736,0.913894514,0.907259321,0.823670546,5000,5000,10000,0.912973684,0.9107,0.910576917,0.912973684,0.9107,0.910576917
SGDClassifier,tfidf,550,0,,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9126,0.882178585,0.948283355,0.9524,0.8728,0.915945374,0.908977296,0.827826789,5000,5000,10000,0.91523097,0.9126,0.912461335,0.91523097,0.9126,0.912461335
SGDClassifier,tfidf,553,1,,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9106,0.880044428,0.946498478,0.9508,0.8704,0.914054989,0.906855595,0.823867122,5000,5000,10000,0.913271453,0.9106,0.910455292,0.913271453,0.9106,0.910455292
SGDClassifier,tfidf,609,0,,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9117,0.879307168,0.950142139,0.9544,0.869,0.915316007,0.907761412,0.826419118,5000,5000,10000,0.914724653,0.9117,0.911538709,0.914724653,0.9117,0.911538709
SGDClassifier,tfidf,596,0,,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9058,0.877418155,0.938797578,0.9434,0.8682,0.90921357,0.902119701,0.813904594,5000,5000,10000,0.908107866,0.9058,0.905666635,0.908107866,0.9058,0.905666635
SGDClassifier,tfidf,537,0,,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.906,0.880292244,0.935435435,0.9398,0.8722,0.909073322,0.902711654,0.813861706,5000,5000,10000,0.90786384,0.906,0.905892488,0.90786384,0.906,0.905892488
