algorithm,features,training_time,testing_time,best_estimator,train_accuracy,train_precision_0,train_precision_1,train_recall_0,train_recall_1,train_f1_0,train_f1_1,train_mcc,train_support_0,train_support_1,train_support,train_macro_avg_precision,train_macro_avg_recall,train_macro_avg_f1,train_weighted_avg_precision,train_weighted_avg_recall,train_weighted_avg_f1,test_accuracy,test_precision_0,test_precision_1,test_recall_0,test_recall_1,test_f1_0,test_f1_1,test_mcc,test_support_0,test_support_1,test_support,test_macro_avg_precision,test_macro_avg_recall,test_macro_avg_f1,test_weighted_avg_precision,test_weighted_avg_recall,test_weighted_avg_f1
SGDClassifier,tfidf,7345,1,"{'class_weight': 'balanced', 'eta0': 0.8102054986375052, 'learning_rate': 'constant', 'loss': 'hinge', 'penalty': None}",0.999966667,0.999933338,1,1,0.999933333,0.999966668,0.999966666,0.999933336,15000,15000,30000,0.999966669,0.999966667,0.999966667,0.999966669,0.999966667,0.999966667,0.9107,0.879364493,0.947678221,0.952,0.8694,0.914241813,0.90685303,0.824216528,5000,5000,10000,0.913521357,0.9107,0.910547422,0.913521357,0.9107,0.910547422
PassiveAggressiveClassifier,tfidf,632,0,{'class_weight': 'balanced'},1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9091,0.877607532,0.946323369,0.9508,0.8674,0.912738792,0.905144527,0.82106045,5000,5000,10000,0.91196545,0.9091,0.90894166,0.91196545,0.9091,0.90894166
SVC,tfidf,12478832,7528,"{'class_weight': 'balanced', 'degree': 3, 'kernel': 'linear', 'probability': True}",0.9945,0.991648439,0.997384832,0.9974,0.9916,0.994515904,0.994484004,0.989016635,15000,15000,30000,0.994516636,0.9945,0.994499954,0.994516636,0.9945,0.994499954,0.9085,0.870353581,0.955406912,0.96,0.857,0.912981455,0.903531892,0.821368567,5000,5000,10000,0.912880247,0.9085,0.908256674,0.912880247,0.9085,0.908256674
RandomForestClassifier,tfidf,1077761,186,"{'class_weight': 'balanced', 'criterion': 'entropy', 'n_estimators': 100}",1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.8926,0.893702367,0.891503789,0.8912,0.894,0.892449429,0.89275015,0.785203078,5000,5000,10000,0.892603078,0.8926,0.892599789,0.892603078,0.8926,0.892599789
BernoulliNB,tfidf,3688,6,"{'alpha': 0.10460371036792848, 'binarize': 0.042937660594707605, 'fit_prior': True}",0.9963,0.994289888,0.998326528,0.998333333,0.994266667,0.996307508,0.996292461,0.992608208,15000,15000,30000,0.996308208,0.9963,0.996299985,0.996308208,0.9963,0.996299985,0.8642,0.849788705,0.879849812,0.8848,0.8436,0.866941015,0.86134368,0.729018996,5000,5000,10000,0.864819259,0.8642,0.864142347,0.864819259,0.8642,0.864142347
MultinomialNB,tfidf,1177,2,{'alpha': 0.138110891026767},0.996066667,0.994090305,0.998058902,0.998066667,0.994066667,0.996074518,0.996058784,0.99214127,15000,15000,30000,0.996074604,0.996066667,0.996066651,0.996074604,0.996066667,0.996066651,0.864,0.874794069,0.853810264,0.8496,0.8784,0.862012987,0.865930599,0.728302104,5000,5000,10000,0.864302167,0.864,0.863971793,0.864302167,0.864,0.863971793
LogisticRegression,tfidf,24578,0,"{'class_weight': 'balanced', 'dual': False, 'max_iter': 125, 'solver': 'saga'}",0.9196,0.873044097,0.979433272,0.982,0.8572,0.924322289,0.914249147,0.845812632,15000,15000,30000,0.926238685,0.9196,0.919285718,0.926238685,0.9196,0.919285718,0.8609,0.854867257,0.867141404,0.8694,0.8524,0.862072385,0.859707514,0.721904323,5000,5000,10000,0.86100433,0.8609,0.860889949,0.86100433,0.8609,0.860889949
ComplementNB,tfidf,1205,2,"{'alpha': 0.41761996152417746, 'norm': True}",0.992066667,0.991673328,0.992460635,0.992466667,0.991666667,0.992069839,0.992063492,0.984133648,15000,15000,30000,0.992066982,0.992066667,0.992066665,0.992066982,0.992066667,0.992066665,0.8582,0.877370417,0.840883137,0.8328,0.8836,0.854504412,0.861712502,0.717326178,5000,5000,10000,0.859126777,0.8582,0.858108457,0.859126777,0.8582,0.858108457
Perceptron,tfidf,1130,1,"{'class_weight': 'balanced', 'penalty': 'elasticnet'}",0.873466667,0.827602339,0.934263566,0.943466667,0.803466667,0.881744548,0.863942652,0.754362671,15000,15000,30000,0.880932953,0.873466667,0.8728436,0.880932953,0.873466667,0.8728436,0.8551,0.808300052,0.918651261,0.931,0.7792,0.865322056,0.843198788,0.718526842,5000,5000,10000,0.863475657,0.8551,0.854260422,0.863475657,0.8551,0.854260422
DecisionTreeClassifier,tfidf,649640,3,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_leaf_nodes': None, 'splitter': 'random'}",1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.853,0.885539537,0.825525636,0.8108,0.8952,0.846523283,0.858952216,0.70852806,5000,5000,10000,0.855532587,0.853,0.852737749,0.855532587,0.853,0.852737749
KNeighborsClassifier,tfidf,438204,7562,"{'n_neighbors': 5, 'weights': 'distance'}",1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.8477,0.904961565,0.804625898,0.777,0.9184,0.836113203,0.857756608,0.702457915,5000,5000,10000,0.854793732,0.8477,0.846934906,0.854793732,0.8477,0.846934906
AdaBoostClassifier,tfidf,1245591,142,"{'algorithm': 'SAMME.R', 'n_estimators': 150}",0.8705,0.819084802,0.941667329,0.951066667,0.789933333,0.880155474,0.859152376,0.750811114,15000,15000,30000,0.880376066,0.8705,0.869653925,0.880376066,0.8705,0.869653925,0.8433,0.814319722,0.878166997,0.8894,0.7972,0.850205525,0.835727015,0.689537077,5000,5000,10000,0.846243359,0.8433,0.84296627,0.846243359,0.8433,0.84296627
