algorithm,features,training_time,testing_time,best_estimator,train_accuracy,train_precision_0,train_precision_1,train_recall_0,train_recall_1,train_f1_0,train_f1_1,train_mcc,train_support_0,train_support_1,train_support,train_macro_avg_precision,train_macro_avg_recall,train_macro_avg_f1,train_weighted_avg_precision,train_weighted_avg_recall,train_weighted_avg_f1,test_accuracy,test_precision_0,test_precision_1,test_recall_0,test_recall_1,test_f1_0,test_f1_1,test_mcc,test_support_0,test_support_1,test_support,test_macro_avg_precision,test_macro_avg_recall,test_macro_avg_f1,test_weighted_avg_precision,test_weighted_avg_recall,test_weighted_avg_f1
SGDClassifier,tfidf,26784,5,"{'class_weight': 'balanced', 'eta0': 0.2476923834458562, 'learning_rate': 'adaptive', 'loss': 'hinge', 'penalty': None}",0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.999964747,56732,56732,113464,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.967347047,0.962674066,0.972115385,0.972397018,0.962297076,0.967511115,0.967181313,0.934741771,18911,18911,37822,0.967394725,0.967347047,0.967346214,0.967394725,0.967347047,0.967346214
PassiveAggressiveClassifier,tfidf,2664,2,{'class_weight': 'balanced'},1,1,1,1,1,1,1,1,56732,56732,113464,1,1,1,1,1,1,0.96562847,0.961045081,0.970303904,0.970599122,0.960657818,0.965798474,0.965456768,0.931302962,18911,18911,37822,0.965674493,0.96562847,0.965627621,0.965674493,0.96562847,0.965627621
LinearSVC,tfidf,29975,3,"{'class_weight': 'balanced', 'dual': True, 'fit_intercept': True, 'loss': 'squared_hinge', 'penalty': 'l2'}",0.999832546,0.999770881,0.999894227,0.99989424,0.999770852,0.999832556,0.999832536,0.9996651,56732,56732,113464,0.999832554,0.999832546,0.999832546,0.999832554,0.999832546,0.999832546,0.963777696,0.956868261,0.970899329,0.971339432,0.956215959,0.964049543,0.963501705,0.927661484,18911,18911,37822,0.963883795,0.963777696,0.963775624,0.963883795,0.963777696,0.963775624
SVC,tfidf,58977960,85294,"{'class_weight': 'balanced', 'degree': 3, 'kernel': 'linear', 'probability': True}",0.998096312,0.997359899,0.99883491,0.998836635,0.99735599,0.998097721,0.998094902,0.996193717,56732,56732,113464,0.998097404,0.998096312,0.998096311,0.998097404,0.998096312,0.998096311,0.963248903,0.956490021,0.970210939,0.970652001,0.955845804,0.963518975,0.962974802,0.926599377,18911,18911,37822,0.96335048,0.963248903,0.963246888,0.96335048,0.963248903,0.963246888
BernoulliNB,tfidf,7084,35,"{'alpha': 0.05857603724009097, 'binarize': 0.03756792108913587, 'fit_prior': False}",0.999171543,0.998784698,0.99955899,0.999559332,0.998783755,0.999171865,0.999171222,0.998343387,56732,56732,113464,0.999171844,0.999171543,0.999171543,0.999171844,0.999171543,0.999171543,0.955184813,0.942116076,0.969049695,0.969964571,0.940405055,0.955837524,0.954512519,0.910767612,18911,18911,37822,0.955582885,0.955184813,0.955175021,0.955582885,0.955184813,0.955175021
ComplementNB,tfidf,5388,6,"{'alpha': 0.08533942891319435, 'norm': False}",0.999330184,0.99897837,0.999682495,0.999682719,0.998977649,0.99933042,0.999329948,0.998660616,56732,56732,113464,0.999330432,0.999330184,0.999330184,0.999330432,0.999330184,0.999330184,0.95396859,0.943348482,0.965109979,0.965945746,0.941991434,0.95451339,0.953410581,0.908197783,18911,18911,37822,0.954229231,0.95396859,0.953961985,0.954229231,0.95396859,0.953961985
MultinomialNB,tfidf,5396,6,{'alpha': 0.07759048342015018},0.999374251,0.999048777,0.99970015,0.999700345,0.999048156,0.999374455,0.999374047,0.998748714,56732,56732,113464,0.999374463,0.999374251,0.999374251,0.999374463,0.999374251,0.999374251,0.95396859,0.943302695,0.965160381,0.965998625,0.941938554,0.954515767,0.953408087,0.90820009,18911,18911,37822,0.954231538,0.95396859,0.953961927,0.954231538,0.95396859,0.953961927
LogisticRegression,tfidf,58091,4,"{'class_weight': 'balanced', 'dual': False, 'max_iter': 100, 'solver': 'saga'}",0.976027639,0.971341804,0.980807577,0.980998378,0.971056899,0.97614621,0.975907883,0.952102328,56732,56732,113464,0.976074691,0.976027639,0.976027046,0.976074691,0.976027639,0.976027046,0.946459732,0.936285655,0.957119653,0.958119613,0.934799852,0.94707681,0.945828094,0.893162354,18911,18911,37822,0.946702654,0.946459732,0.946452452,0.946702654,0.946459732,0.946452452
RandomForestClassifier,tfidf,7244936,834,"{'class_weight': 'balanced', 'criterion': 'entropy', 'n_estimators': 100}",0.999964747,0.999947122,0.999982373,0.999982373,0.99994712,0.999964747,0.999964746,0.999929494,56732,56732,113464,0.999964747,0.999964747,0.999964747,0.999964747,0.999964747,0.999964747,0.935434403,0.939149912,0.931781239,0.931204061,0.939664745,0.935160108,0.935706387,0.870899978,18911,18911,37822,0.935465575,0.935434403,0.935433248,0.935465575,0.935434403,0.935433248
KNeighborsClassifier,tfidf,1764562,167135,"{'n_neighbors': 5, 'weights': 'distance'}",1,1,1,1,1,1,1,1,56732,56732,113464,1,1,1,1,1,1,0.915155201,0.961877868,0.877016904,0.864576173,0.965734229,0.910635217,0.919239965,0.834591549,18911,18911,37822,0.919447386,0.915155201,0.914937591,0.919447386,0.915155201,0.914937591
Perceptron,tfidf,7677,2,"{'class_weight': 'balanced', 'penalty': 'l2'}",0.914113728,0.916854451,0.911408808,0.910826341,0.917401114,0.913830455,0.914395144,0.828245357,56732,56732,113464,0.91413163,0.914113728,0.9141128,0.91413163,0.914113728,0.9141128,0.89913278,0.895473122,0.902860803,0.903759717,0.894505843,0.899597337,0.898663904,0.798299741,18911,18911,37822,0.899166962,0.89913278,0.89913062,0.899166962,0.89913278,0.89913062
DecisionTreeClassifier,tfidf,1939414,66,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_leaf_nodes': None, 'splitter': 'random'}",1,1,1,1,1,1,1,1,56732,56732,113464,1,1,1,1,1,1,0.894082809,0.919504644,0.871566037,0.863782983,0.924382634,0.890773258,0.897197701,0.789616813,18911,18911,37822,0.89553534,0.894082809,0.893985479,0.89553534,0.894082809,0.893985479
NearestCentroid,tfidf,78694,13,{'metric': 'cosine'},0.891895227,0.876907168,0.908124679,0.911778185,0.872012268,0.894002765,0.88970218,0.784410904,56732,56732,113464,0.892515923,0.891895227,0.891852472,0.892515923,0.891895227,0.891852472,0.874808313,0.849817392,0.903644647,0.910528264,0.839088361,0.879125929,0.870170821,0.751536873,18911,18911,37822,0.87673102,0.874808313,0.874648375,0.87673102,0.874808313,0.874648375
AdaBoostClassifier,tfidf,3145855,1092,"{'algorithm': 'SAMME.R', 'n_estimators': 150}",0.843148488,0.90591964,0.797191054,0.765828809,0.920468166,0.830004489,0.854405785,0.694652965,56732,56732,113464,0.851555347,0.843148488,0.842205137,0.851555347,0.843148488,0.842205137,0.805774417,0.90003459,0.747464373,0.687959389,0.923589445,0.779835761,0.826245329,0.629267221,18911,18911,37822,0.823749481,0.805774417,0.803040545,0.823749481,0.805774417,0.803040545
KMeans,tfidf,303196,33,"{'algorithm': 'full', 'n_clusters': 2}",0.482073609,0.490873194,0,0.964147219,0,0.650539361,0,-0.135105929,56732,56732,113464,0.245436597,0.482073609,0.32526968,0.245436597,0.482073609,0.32526968,0.4809899,0.490298729,0.030065359,0.960763577,0.001216223,0.649263865,0.002337874,-0.135040191,18911,18911,37822,0.260182044,0.4809899,0.325800869,0.260182044,0.4809899,0.325800869
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
