algorithm,features,training_time,testing_time,best_estimator,train_accuracy,train_precision_0,train_precision_1,train_recall_0,train_recall_1,train_f1_0,train_f1_1,train_mcc,train_support_0,train_support_1,train_support,train_macro_avg_precision,train_macro_avg_recall,train_macro_avg_f1,train_weighted_avg_precision,train_weighted_avg_recall,train_weighted_avg_f1,test_accuracy,test_precision_0,test_precision_1,test_recall_0,test_recall_1,test_f1_0,test_f1_1,test_mcc,test_support_0,test_support_1,test_support,test_macro_avg_precision,test_macro_avg_recall,test_macro_avg_f1,test_weighted_avg_precision,test_weighted_avg_recall,test_weighted_avg_f1
SGDClassifier,tfidf,9156,1,"{'class_weight': 'balanced', 'eta0': 0.06912934199887777, 'learning_rate': 'adaptive', 'loss': 'squared_hinge', 'penalty': None}",0.999966667,0.999933338,1,1,0.999933333,0.999966668,0.999966666,0.999933336,15000,15000,30000,0.999966669,0.999966667,0.999966667,0.999966669,0.999966667,0.999966667,0.9106,0.884456929,0.94055794,0.9446,0.8766,0.913539652,0.907453416,0.823105224,5000,5000,10000,0.912507434,0.9106,0.910496534,0.912507434,0.9106,0.910496534
SGDClassifier,tfidf,4693,0,"{'class_weight': 'balanced', 'eta0': 0.8024277467224812, 'learning_rate': 'optimal', 'loss': 'perceptron', 'penalty': 'l2'}",0.9984,0.99733901,0.999465526,0.999466667,0.997333333,0.998401705,0.998398292,0.996802268,15000,15000,30000,0.998402268,0.9984,0.998399998,0.998402268,0.9984,0.998399998,0.9046,0.872971976,0.942089161,0.947,0.8622,0.90848043,0.90037594,0.812125281,5000,5000,10000,0.907530569,0.9046,0.904428185,0.907530569,0.9046,0.904428185
SGDClassifier,tfidf,6546,0,"{'class_weight': 'balanced', 'eta0': 0.6821373732993762, 'learning_rate': 'adaptive', 'loss': 'huber', 'penalty': None}",0.997733333,0.996343571,0.9991309,0.999133333,0.996333333,0.997736502,0.997730156,0.995470569,15000,15000,30000,0.997737236,0.997733333,0.997733329,0.997737236,0.997733333,0.997733329,0.9104,0.871335505,0.958649978,0.963,0.8578,0.914877446,0.905425375,0.825379963,5000,5000,10000,0.914992741,0.9104,0.910151411,0.914992741,0.9104,0.910151411
SGDClassifier,tfidf,14400,0,"{'class_weight': 'balanced', 'eta0': 0.34043504088953414, 'learning_rate': 'adaptive', 'loss': 'modified_huber', 'penalty': 'elasticnet'}",0.964866667,0.940826906,0.991679594,0.992133333,0.9376,0.965799208,0.963881845,0.931118884,15000,15000,30000,0.96625325,0.964866667,0.964840527,0.96625325,0.964866667,0.964840527,0.8988,0.860839667,0.945686187,0.9514,0.8462,0.903857116,0.893181338,0.80205051,5000,5000,10000,0.903262927,0.8988,0.898519227,0.903262927,0.8988,0.898519227
SGDClassifier,tfidf,4388,0,"{'class_weight': 'balanced', 'eta0': 0.6832289631847853, 'learning_rate': 'constant', 'loss': 'squared_hinge', 'penalty': None}",1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9072,0.878157504,0.941074523,0.9456,0.8688,0.910631741,0.903494176,0.81681244,5000,5000,10000,0.909616014,0.9072,0.907062959,0.909616014,0.9072,0.907062959
SGDClassifier,tfidf,24515,1,"{'class_weight': 'balanced', 'eta0': 0.06293433627065914, 'learning_rate': 'invscaling', 'loss': 'perceptron', 'penalty': None}",0.9987,0.999399159,0.998002796,0.998,0.9994,0.998699089,0.998700909,0.997400977,15000,15000,30000,0.998700977,0.9987,0.998699999,0.998700977,0.9987,0.998699999,0.9071,0.900925744,0.913467398,0.9148,0.8994,0.907809864,0.906379119,0.814296565,5000,5000,10000,0.907196571,0.9071,0.907094492,0.907196571,0.9071,0.907094492
SGDClassifier,tfidf,12456,0,"{'class_weight': 'balanced', 'eta0': 0.2359891478742352, 'learning_rate': 'adaptive', 'loss': 'hinge', 'penalty': None}",0.9999,0.99980004,1,1,0.9998,0.99990001,0.99989999,0.99980002,15000,15000,30000,0.99990002,0.9999,0.9999,0.99990002,0.9999,0.9999,0.9104,0.881554481,0.943963652,0.9482,0.8726,0.913663519,0.906880067,0.823155686,5000,5000,10000,0.912759067,0.9104,0.910271793,0.912759067,0.9104,0.910271793
SGDClassifier,tfidf,6478,1,"{'class_weight': 'balanced', 'eta0': 0.8417728962279344, 'learning_rate': 'invscaling', 'loss': 'perceptron', 'penalty': 'l2'}",0.999366667,0.999200267,0.999533178,0.999533333,0.9992,0.999366772,0.999366561,0.998733389,15000,15000,30000,0.999366722,0.999366667,0.999366667,0.999366722,0.999366667,0.999366667,0.9061,0.896969697,0.915660184,0.9176,0.8946,0.907167573,0.905007587,0.812414912,5000,5000,10000,0.906314941,0.9061,0.90608758,0.906314941,0.9061,0.90608758
SGDClassifier,tfidf,4907,1,"{'class_weight': 'balanced', 'eta0': 0.27403823784466563, 'learning_rate': 'constant', 'loss': 'epsilon_insensitive', 'penalty': None}",0.999866667,0.999733404,1,1,0.999733333,0.999866684,0.999866649,0.999733369,15000,15000,30000,0.999866702,0.999866667,0.999866667,0.999866702,0.999866667,0.999866667,0.9035,0.872026554,0.940790911,0.9458,0.8612,0.907416291,0.899237757,0.809903509,5000,5000,10000,0.906408732,0.9035,0.903327024,0.906408732,0.9035,0.903327024
SGDClassifier,tfidf,4458,1,"{'class_weight': 'balanced', 'eta0': 0.3850578773078024, 'learning_rate': 'adaptive', 'loss': 'squared_epsilon_insensitive', 'penalty': None}",0.999966667,0.999933338,1,1,0.999933333,0.999966668,0.999966666,0.999933336,15000,15000,30000,0.999966669,0.999966667,0.999966667,0.999966669,0.999966667,0.999966667,0.909,0.874542125,0.950440529,0.955,0.863,0.913001912,0.904612159,0.821483908,5000,5000,10000,0.912491327,0.909,0.908807036,0.912491327,0.909,0.908807036
