,n_inter_pso,best_cost,n_particles,n_processes_pso,c1,c2,w,training_time,testing_time,train_accuracy,train_precision_0,train_precision_1,train_recall_0,train_recall_1,train_f1_0,train_f1_1,train_mcc,train_support_0,train_support_1,train_support,train_macro_avg_precision,train_macro_avg_recall,train_macro_avg_f1,train_weighted_avg_precision,train_weighted_avg_recall,train_weighted_avg_f1,test_accuracy,test_precision_0,test_precision_1,test_recall_0,test_recall_1,test_f1_0,test_f1_1,test_mcc,test_support_0,test_support_1,test_support,test_macro_avg_precision,test_macro_avg_recall,test_macro_avg_f1,test_weighted_avg_precision,test_weighted_avg_recall,test_weighted_avg_f1,
0,10,0.033349785,54,60,0.739,0.829,0.815,153403.4,54.53333333,0.999921267,0.999882518,0.999960036,0.999960046,0.999882488,0.999921277,0.999921257,0.999842545,56732,56732,113464,0.999921277,0.999921267,0.999921267,0.999921277,0.999921267,0.999921267,0.968542118,0.964871797,0.972271798,0.9724922,0.964592036,0.968666776,0.968416448,0.937113915,18911,18911,37822,0.968571798,0.968542118,0.968541612,0.968571798,0.968542118,0.968541612,
1,100,0.033631813,54,60,0.739,0.829,0.815,1456876.133,54.86666667,0.999971797,0.999963573,0.999980022,0.999980023,0.999963571,0.999971798,0.999971797,0.999943595,56732,56732,113464,0.999971798,0.999971797,0.999971797,0.999971798,0.999971797,0.999971797,0.968790651,0.965165518,0.97247363,0.972689616,0.964891686,0.968912735,0.968667589,0.937610225,18911,18911,37822,0.968819574,0.968790651,0.968790162,0.968819574,0.968790651,0.968790162,
2,300,0.033041317,42.5,60,0.739,0.829,0.815,3572655.75,57.91666667,0.999948589,0.999926564,0.999970619,0.999970622,0.999926555,0.999948592,0.999948586,0.99989718,56732,56732,113464,0.999948591,0.999948589,0.999948589,0.999948591,0.999948589,0.999948589,0.968497171,0.964908071,0.972145268,0.972361765,0.964632577,0.968619788,0.968373538,0.93702384,18911,18911,37822,0.96852667,0.968497171,0.968496663,0.96852667,0.968497171,0.968496663,
3,500,0.033531928,30,60,0.739,0.829,0.815,4502235.667,54.16666667,0.999939775,0.999923624,0.999955931,0.999955933,0.999923618,0.999939778,0.999939773,0.999879552,56732,56732,113464,0.999939777,0.999939775,0.999939775,0.999939777,0.999939775,0.999939775,0.96827684,0.964805031,0.971804958,0.97201805,0.964535632,0.968397092,0.9681556,0.936581834,18911,18911,37822,0.968304994,0.96827684,0.968276346,0.968304994,0.96827684,0.968276346,
,n_particles,best_cost,n_inter_pso,n_processes_pso,c1,c2,w,training_time,testing_time,train_accuracy,train_precision_0,train_precision_1,train_recall_0,train_recall_1,train_f1_0,train_f1_1,train_mcc,train_support_0,train_support_1,train_support,train_macro_avg_precision,train_macro_avg_recall,train_macro_avg_f1,train_weighted_avg_precision,train_weighted_avg_recall,train_weighted_avg_f1,test_accuracy,test_precision_0,test_precision_1,test_recall_0,test_recall_1,test_f1_0,test_f1_1,test_mcc,test_support_0,test_support_1,test_support,test_macro_avg_precision,test_macro_avg_recall,test_macro_avg_f1,test_weighted_avg_precision,test_weighted_avg_recall,test_weighted_avg_f1,
0,10,0.033111824,227.5,60,0.739,0.829,0.815,1010061.833,54.25,0.999926555,0.999895728,0.999957395,0.999957402,0.999895708,0.999926562,0.999926549,0.999853117,56732,56732,113464,0.999926562,0.999926555,0.999926555,0.999926562,0.999926555,0.999926555,0.96854344,0.964885811,0.972260876,0.972480743,0.964606138,0.96866794,0.968417916,0.937116784,18911,18911,37822,0.968573344,0.96854344,0.968542928,0.968573344,0.96854344,0.968542928,
1,30,0.03376891,136.6666667,60,0.739,0.829,0.815,1198843.556,55.66666667,0.999939286,0.99990993,0.999968657,0.999968664,0.999909908,0.999939293,0.999939278,0.999878579,56732,56732,113464,0.999939293,0.999939286,0.999939286,0.999939293,0.999939286,0.999939286,0.968692531,0.964971642,0.972474613,0.972696667,0.964688394,0.968818465,0.968565555,0.937415658,18911,18911,37822,0.968723128,0.968692531,0.96869201,0.968723128,0.968692531,0.96869201,
2,50,0.033332158,227.5,60,0.739,0.829,0.815,3092265.333,57.08333333,0.999946385,0.999925098,0.999967681,0.999967684,0.999925086,0.999946389,0.999946382,0.999892775,56732,56732,113464,0.999946389,0.999946385,0.999946385,0.999946389,0.999946385,0.999946385,0.968600726,0.965060651,0.972196689,0.972410237,0.964791215,0.968721108,0.968479387,0.937229395,18911,18911,37822,0.96862867,0.968600726,0.968600247,0.96862867,0.968600726,0.968600247,
3,80,0.03376891,136.6666667,60,0.739,0.829,0.815,2844763.556,55,0.999952016,0.999933416,0.999970619,0.999970622,0.99993341,0.999952018,0.999952014,0.999904034,56732,56732,113464,0.999952018,0.999952016,0.999952016,0.999952018,0.999952016,0.999952016,0.968575021,0.965003878,0.972205577,0.97242052,0.964729523,0.968696965,0.968452052,0.937179748,18911,18911,37822,0.968604727,0.968575021,0.968574508,0.968604727,0.968575021,0.968574508,
4,100,0.032873863,55,60,0.739,0.829,0.815,1403181,54.83333333,0.99998678,0.999985311,0.999988249,0.999988249,0.999985311,0.99998678,0.99998678,0.99997356,56732,56732,113464,0.99998678,0.99998678,0.99998678,0.99998678,0.99998678,0.99998678,0.968413445,0.96485826,0.972023648,0.97223838,0.964588511,0.968534206,0.96829175,0.936854399,18911,18911,37822,0.968440954,0.968413445,0.968412978,0.968440954,0.968413445,0.968412978,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n_inter_pso,Accuracy,F1 score (weighted avg.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.968542118,0.968541612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,0.968790651,0.968790162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,0.968497171,0.968496663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,0.96827684,0.968276346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n_particles,Accuracy,F1 score (weighted avg.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.96854344,0.968542928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.968692531,0.96869201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0.968600726,0.968600247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,0.968575021,0.968574508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,0.968413445,0.968412978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n_inter_pso,Accuracy,F1 score (weighted avg.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,96.85421183,96.85416123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,96.87906509,96.87901619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,96.8497171,96.84966628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,96.82768405,96.82763458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n_particles,Accuracy,F1 score (weighted avg.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,96.85434403,96.85429281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,96.86925305,96.86920098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,96.86007262,96.86002474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,96.85750211,96.85745084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,96.84134454,96.84129784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,n_inter_pso,best_cost,n_particles,n_processes_pso,c1,c2,w,training_time,testing_time,train_accuracy,train_precision_0,train_precision_1,train_recall_0,train_recall_1,train_f1_0,train_f1_1,train_mcc,train_support_0,train_support_1,train_support,train_macro_avg_precision,train_macro_avg_recall,train_macro_avg_f1,train_weighted_avg_precision,train_weighted_avg_recall,train_weighted_avg_f1,test_accuracy,test_precision_0,test_precision_1,test_recall_0,test_recall_1,test_f1_0,test_f1_1,test_mcc,test_support_0,test_support_1,test_support,test_macro_avg_precision,test_macro_avg_recall,test_macro_avg_f1,test_weighted_avg_precision,test_weighted_avg_recall,test_weighted_avg_f1,
0,10,0.033349785,54,60,0.739,0.829,0.815,153403.4,54.53333333,0.999921267,0.999882518,0.999960036,0.999960046,0.999882488,0.999921277,0.999921257,0.999842545,56732,56732,113464,0.999921277,0.999921267,0.999921267,0.999921277,0.999921267,0.999921267,0.968542118,0.964871797,0.972271798,0.9724922,0.964592036,0.968666776,0.968416448,0.937113915,18911,18911,37822,0.968571798,0.968542118,0.968541612,0.968571798,0.968542118,0.968541612,
1,100,0.033631813,54,60,0.739,0.829,0.815,1456876.133,54.86666667,0.999971797,0.999963573,0.999980022,0.999980023,0.999963571,0.999971798,0.999971797,0.999943595,56732,56732,113464,0.999971798,0.999971797,0.999971797,0.999971798,0.999971797,0.999971797,0.968790651,0.965165518,0.97247363,0.972689616,0.964891686,0.968912735,0.968667589,0.937610225,18911,18911,37822,0.968819574,0.968790651,0.968790162,0.968819574,0.968790651,0.968790162,
2,300,0.033041317,42.5,60,0.739,0.829,0.815,3572655.75,57.91666667,0.999948589,0.999926564,0.999970619,0.999970622,0.999926555,0.999948592,0.999948586,0.99989718,56732,56732,113464,0.999948591,0.999948589,0.999948589,0.999948591,0.999948589,0.999948589,0.968497171,0.964908071,0.972145268,0.972361765,0.964632577,0.968619788,0.968373538,0.93702384,18911,18911,37822,0.96852667,0.968497171,0.968496663,0.96852667,0.968497171,0.968496663,
3,500,0.033531928,30,60,0.739,0.829,0.815,4502235.667,54.16666667,0.999939775,0.999923624,0.999955931,0.999955933,0.999923618,0.999939778,0.999939773,0.999879552,56732,56732,113464,0.999939777,0.999939775,0.999939775,0.999939777,0.999939775,0.999939775,0.96827684,0.964805031,0.971804958,0.97201805,0.964535632,0.968397092,0.9681556,0.936581834,18911,18911,37822,0.968304994,0.96827684,0.968276346,0.968304994,0.96827684,0.968276346,
,n_particles,best_cost,n_inter_pso,n_processes_pso,c1,c2,w,training_time,testing_time,train_accuracy,train_precision_0,train_precision_1,train_recall_0,train_recall_1,train_f1_0,train_f1_1,train_mcc,train_support_0,train_support_1,train_support,train_macro_avg_precision,train_macro_avg_recall,train_macro_avg_f1,train_weighted_avg_precision,train_weighted_avg_recall,train_weighted_avg_f1,test_accuracy,test_precision_0,test_precision_1,test_recall_0,test_recall_1,test_f1_0,test_f1_1,test_mcc,test_support_0,test_support_1,test_support,test_macro_avg_precision,test_macro_avg_recall,test_macro_avg_f1,test_weighted_avg_precision,test_weighted_avg_recall,test_weighted_avg_f1,
0,10,0.033111824,227.5,60,0.739,0.829,0.815,1010061.833,54.25,0.999926555,0.999895728,0.999957395,0.999957402,0.999895708,0.999926562,0.999926549,0.999853117,56732,56732,113464,0.999926562,0.999926555,0.999926555,0.999926562,0.999926555,0.999926555,0.96854344,0.964885811,0.972260876,0.972480743,0.964606138,0.96866794,0.968417916,0.937116784,18911,18911,37822,0.968573344,0.96854344,0.968542928,0.968573344,0.96854344,0.968542928,
1,30,0.03376891,136.6666667,60,0.739,0.829,0.815,1198843.556,55.66666667,0.999939286,0.99990993,0.999968657,0.999968664,0.999909908,0.999939293,0.999939278,0.999878579,56732,56732,113464,0.999939293,0.999939286,0.999939286,0.999939293,0.999939286,0.999939286,0.968692531,0.964971642,0.972474613,0.972696667,0.964688394,0.968818465,0.968565555,0.937415658,18911,18911,37822,0.968723128,0.968692531,0.96869201,0.968723128,0.968692531,0.96869201,
2,50,0.033332158,227.5,60,0.739,0.829,0.815,3092265.333,57.08333333,0.999946385,0.999925098,0.999967681,0.999967684,0.999925086,0.999946389,0.999946382,0.999892775,56732,56732,113464,0.999946389,0.999946385,0.999946385,0.999946389,0.999946385,0.999946385,0.968600726,0.965060651,0.972196689,0.972410237,0.964791215,0.968721108,0.968479387,0.937229395,18911,18911,37822,0.96862867,0.968600726,0.968600247,0.96862867,0.968600726,0.968600247,
3,80,0.03376891,136.6666667,60,0.739,0.829,0.815,2844763.556,55,0.999952016,0.999933416,0.999970619,0.999970622,0.99993341,0.999952018,0.999952014,0.999904034,56732,56732,113464,0.999952018,0.999952016,0.999952016,0.999952018,0.999952016,0.999952016,0.968575021,0.965003878,0.972205577,0.97242052,0.964729523,0.968696965,0.968452052,0.937179748,18911,18911,37822,0.968604727,0.968575021,0.968574508,0.968604727,0.968575021,0.968574508,
