ensemble_type,strategy,weights,estimators,best_cost,c1_strategy,c2_strategy,w_strategy,n_inter_pso,n_particles,n_processes_pso,c1,c2,w,features,training_time,testing_time,train_accuracy,train_precision_0,train_precision_1,train_recall_0,train_recall_1,train_f1_0,train_f1_1,train_mcc,train_support_0,train_support_1,train_support,train_macro_avg_precision,train_macro_avg_recall,train_macro_avg_f1,train_weighted_avg_precision,train_weighted_avg_recall,train_weighted_avg_f1,test_accuracy,test_precision_0,test_precision_1,test_recall_0,test_recall_1,test_f1_0,test_f1_1,test_mcc,test_support_0,test_support_1,test_support,test_macro_avg_precision,test_macro_avg_recall,test_macro_avg_f1,test_weighted_avg_precision,test_weighted_avg_recall,test_weighted_avg_f1
VotingClassifier,weight_voting_hard,"[0.1091430755585658, 1.0107633953890738, 0.15971996756128945]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced')]",0.035323979,lin_variation,nonlin_mod,exp_decay,10,10,60,0.739,0.829,0.815,tfidf,46995,11,1,1,1,1,1,1,1,1,56732,56732,113464,1,1,1,1,1,1,0.96562847,0.961528382,0.969802059,0.970070329,0.961186611,0.965780469,0.965475116,0.93129369,18911,18911,37822,0.965665221,0.96562847,0.965627792,0.965665221,0.96562847,0.965627792
VotingClassifier,weight_voting_hard,"[0.6976688189210942, 0.4671276685532455, 1.1946866294231335, 0.37666561603402293, 0.5293161427172709, 0.899448100202441, 0.914125491645363]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), BernoulliNB(alpha=0.05857603724009097, binarize=0.03756792108913587,
            fit_prior=False), ComplementNB(alpha=0.08533942891319435), MultinomialNB(alpha=0.07759048342015018), LogisticRegression(class_weight='balanced', solver='saga')]",0.03289149,lin_variation,nonlin_mod,exp_decay,10,10,60,0.739,0.829,0.815,tfidf,67733,79,0.999673905,0.999506617,0.999841306,0.999841359,0.999506451,0.99967396,0.999673851,0.999347867,56732,56732,113464,0.999673961,0.999673905,0.999673905,0.999673961,0.999673905,0.999673905,0.969567976,0.96623963,0.972944184,0.973137327,0.965998625,0.969676213,0.969458965,0.939159883,18911,18911,37822,0.969591907,0.969567976,0.969567589,0.969591907,0.969567976,0.969567589
VotingClassifier,weight_voting_hard,"[0.8787049761426835, 1.1520326005284236, 0.8351082920554715, 0.19478999316637283, 1.250476162991711]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), BernoulliNB(alpha=0.05857603724009097, binarize=0.03756792108913587,
            fit_prior=False), ComplementNB(alpha=0.08533942891319435)]",0.029859691,lin_variation,nonlin_mod,exp_decay,10,10,60,0.739,0.829,0.815,tfidf,50939,62,0.99994712,0.999929496,0.999964745,0.999964747,0.999929493,0.999947121,0.999947119,0.99989424,56732,56732,113464,0.99994712,0.99994712,0.99994712,0.99994712,0.99994712,0.99994712,0.970149648,0.966817179,0.973530038,0.973719,0.966580297,0.970255816,0.97004272,0.940323257,18911,18911,37822,0.970173609,0.970149648,0.970149268,0.970173609,0.970149648,0.970149268
VotingClassifier,weight_voting_hard,"[0.1091430755585658, 1.0107633953890738, 0.15971996756128945]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced')]",0.035323979,lin_variation,nonlin_mod,exp_decay,10,10,60,0.739,0.829,0.815,tfidf,46995,11,1,1,1,1,1,1,1,1,56732,56732,113464,1,1,1,1,1,1,0.96562847,0.961528382,0.969802059,0.970070329,0.961186611,0.965780469,0.965475116,0.93129369,18911,18911,37822,0.965665221,0.96562847,0.965627792,0.965665221,0.96562847,0.965627792
VotingClassifier,weight_voting_hard,"[0.6976688189210942, 0.4671276685532455, 1.1946866294231335, 0.37666561603402293, 0.5293161427172709, 0.899448100202441, 0.914125491645363]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), BernoulliNB(alpha=0.05857603724009097, binarize=0.03756792108913587,
            fit_prior=False), ComplementNB(alpha=0.08533942891319435), MultinomialNB(alpha=0.07759048342015018), LogisticRegression(class_weight='balanced', solver='saga')]",0.03289149,lin_variation,nonlin_mod,exp_decay,10,10,60,0.739,0.829,0.815,tfidf,67733,79,0.999673905,0.999506617,0.999841306,0.999841359,0.999506451,0.99967396,0.999673851,0.999347867,56732,56732,113464,0.999673961,0.999673905,0.999673905,0.999673961,0.999673905,0.999673905,0.969567976,0.96623963,0.972944184,0.973137327,0.965998625,0.969676213,0.969458965,0.939159883,18911,18911,37822,0.969591907,0.969567976,0.969567589,0.969591907,0.969567976,0.969567589
VotingClassifier,weight_voting_hard,"[0.8787049761426835, 1.1520326005284236, 0.8351082920554715, 0.19478999316637283, 1.250476162991711]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), BernoulliNB(alpha=0.05857603724009097, binarize=0.03756792108913587,
            fit_prior=False), ComplementNB(alpha=0.08533942891319435)]",0.029859691,lin_variation,nonlin_mod,exp_decay,10,10,60,0.739,0.829,0.815,tfidf,50939,62,0.99994712,0.999929496,0.999964745,0.999964747,0.999929493,0.999947121,0.999947119,0.99989424,56732,56732,113464,0.99994712,0.99994712,0.99994712,0.99994712,0.99994712,0.99994712,0.970149648,0.966817179,0.973530038,0.973719,0.966580297,0.970255816,0.97004272,0.940323257,18911,18911,37822,0.970173609,0.970149648,0.970149268,0.970173609,0.970149648,0.970149268
VotingClassifier,weight_voting_hard,"[0.38793950763815443, 0.8923801578603578, 0.28643991240791244]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced')]",0.036381584,lin_variation,nonlin_mod,exp_decay,10,20,60,0.739,0.829,0.815,tfidf,66013,16,1,1,1,1,1,1,1,1,56732,56732,113464,1,1,1,1,1,1,0.965919306,0.961744052,0.970170758,0.970440484,0.961398128,0.966072698,0.965764522,0.93187671,18911,18911,37822,0.965957405,0.965919306,0.96591861,0.965957405,0.965919306,0.96591861
VotingClassifier,weight_voting_hard,"[0.9070601565870972, 1.1931707374578302, 0.8665079705796604, 0.18706627514142318, 0.6953333717551411, 0.5757961228200581, -0.012150405064690211]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), BernoulliNB(alpha=0.05857603724009097, binarize=0.03756792108913587,
            fit_prior=False), ComplementNB(alpha=0.08533942891319435), MultinomialNB(alpha=0.07759048342015018), LogisticRegression(class_weight='balanced', solver='saga')]",0.032926743,lin_variation,nonlin_mod,exp_decay,10,20,60,0.739,0.829,0.815,tfidf,92713,85,0.99997356,0.999964747,0.999982373,0.999982373,0.999964747,0.99997356,0.99997356,0.99994712,56732,56732,113464,0.99997356,0.99997356,0.99997356,0.99997356,0.99997356,0.99997356,0.970202528,0.966771654,0.973684211,0.973877637,0.966527418,0.970311636,0.970092615,0.940430459,18911,18911,37822,0.970227932,0.970202528,0.970202125,0.970227932,0.970202528,0.970202125
VotingClassifier,weight_voting_hard,"[1.1012473460285508, 0.5167993721638842, 0.2474684359158903, 0.26975599284045926, 1.1617750865100709]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), BernoulliNB(alpha=0.05857603724009097, binarize=0.03756792108913587,
            fit_prior=False), ComplementNB(alpha=0.08533942891319435)]",0.032609462,lin_variation,nonlin_mod,exp_decay,10,20,60,0.739,0.829,0.815,tfidf,71770,73,0.999938306,0.999911871,0.999964745,0.999964747,0.999911866,0.999938308,0.999938305,0.999876614,56732,56732,113464,0.999938308,0.999938306,0.999938306,0.999938308,0.999938306,0.999938306,0.970387605,0.966881856,0.973946401,0.974142034,0.966633176,0.970498367,0.970276008,0.940801733,18911,18911,37822,0.970414128,0.970387605,0.970387188,0.970414128,0.970387605,0.970387188
VotingClassifier,weight_voting_hard,"[0.1091430755585658, 1.0107633953890738, 0.15971996756128945]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced')]",0.035323979,lin_variation,nonlin_mod,exp_decay,10,10,60,0.739,0.829,0.815,tfidf,46995,11,1,1,1,1,1,1,1,1,56732,56732,113464,1,1,1,1,1,1,0.96562847,0.961528382,0.969802059,0.970070329,0.961186611,0.965780469,0.965475116,0.93129369,18911,18911,37822,0.965665221,0.96562847,0.965627792,0.965665221,0.96562847,0.965627792
