ensemble_type,strategy,weights,estimators,best_cost,c1_strategy,c2_strategy,w_strategy,n_inter_pso,n_particles,n_processes_pso,c1,c2,w,features,training_time,testing_time,train_accuracy,train_precision_0,train_precision_1,train_recall_0,train_recall_1,train_f1_0,train_f1_1,train_mcc,train_support_0,train_support_1,train_support,train_macro_avg_precision,train_macro_avg_recall,train_macro_avg_f1,train_weighted_avg_precision,train_weighted_avg_recall,train_weighted_avg_f1,test_accuracy,test_precision_0,test_precision_1,test_recall_0,test_recall_1,test_f1_0,test_f1_1,test_mcc,test_support_0,test_support_1,test_support,test_macro_avg_precision,test_macro_avg_recall,test_macro_avg_f1,test_weighted_avg_precision,test_weighted_avg_recall,test_weighted_avg_f1
VotingClassifier,weight_voting_hard,"[0.42175622761092624, 1.1278937799955706, -1.1691246461719944]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced')]",0.037650709,lin_variation,nonlin_mod,exp_decay,300,80,60,0.739,0.829,0.815,tfidf,5343392,13,1,1,1,1,1,1,1,1,56732,56732,113464,1,1,1,1,1,1,0.965813548,0.960818163,0.970918422,0.971233674,0.960393422,0.965997844,0.965627243,0.931681838,18911,18911,37822,0.965868292,0.965813548,0.965812543,0.965868292,0.965813548,0.965812543
VotingClassifier,weight_voting_hard,"[1.1798876961671538, 1.306727720040175, 0.5880854370049381, -0.4654157463173101, 1.9577774034186552, 0.9817519962264579, -0.9823662866366524]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), BernoulliNB(alpha=0.05857603724009097, binarize=0.03756792108913587,
            fit_prior=False), ComplementNB(alpha=0.08533942891319435), MultinomialNB(alpha=0.07759048342015018), LogisticRegression(class_weight='balanced', solver='saga')]",0.02964817,lin_variation,nonlin_mod,exp_decay,300,80,60,0.739,0.829,0.815,tfidf,8112215,81,0.99997356,0.999964747,0.999982373,0.999982373,0.999964747,0.99997356,0.99997356,0.99994712,56732,56732,113464,0.99997356,0.99997356,0.99997356,0.99997356,0.99997356,0.99997356,0.969092063,0.967337478,0.970859873,0.970969277,0.967214849,0.969149975,0.969033933,0.938190738,18911,18911,37822,0.969098675,0.969092063,0.969091954,0.969098675,0.969092063,0.969091954
VotingClassifier,weight_voting_hard,"[0.7832550357508219, 1.282364397639761, 0.5044338303676784, 0.6069911451049436, 1.5374281331790107]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), BernoulliNB(alpha=0.05857603724009097, binarize=0.03756792108913587,
            fit_prior=False), ComplementNB(alpha=0.08533942891319435)]",0.0319749,lin_variation,nonlin_mod,exp_decay,300,80,60,0.739,0.829,0.815,tfidf,5376482,73,0.999850173,0.999788505,0.999911855,0.999911866,0.999788479,0.999850182,0.999850163,0.999700353,56732,56732,113464,0.99985018,0.999850173,0.999850173,0.99985018,0.999850173,0.999850173,0.969541537,0.966580842,0.972540046,0.972714293,0.96636878,0.969637868,0.969444592,0.93910198,18911,18911,37822,0.969560444,0.969541537,0.96954123,0.969560444,0.969541537,0.96954123
VotingClassifier,weight_voting_hard,"[0.42175622761092624, 1.1278937799955706, -1.1691246461719944]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced')]",0.037650709,lin_variation,nonlin_mod,exp_decay,300,80,60,0.739,0.829,0.815,tfidf,5343392,13,1,1,1,1,1,1,1,1,56732,56732,113464,1,1,1,1,1,1,0.965813548,0.960818163,0.970918422,0.971233674,0.960393422,0.965997844,0.965627243,0.931681838,18911,18911,37822,0.965868292,0.965813548,0.965812543,0.965868292,0.965813548,0.965812543
VotingClassifier,weight_voting_hard,"[1.1798876961671538, 1.306727720040175, 0.5880854370049381, -0.4654157463173101, 1.9577774034186552, 0.9817519962264579, -0.9823662866366524]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), BernoulliNB(alpha=0.05857603724009097, binarize=0.03756792108913587,
            fit_prior=False), ComplementNB(alpha=0.08533942891319435), MultinomialNB(alpha=0.07759048342015018), LogisticRegression(class_weight='balanced', solver='saga')]",0.02964817,lin_variation,nonlin_mod,exp_decay,300,80,60,0.739,0.829,0.815,tfidf,8112215,81,0.99997356,0.999964747,0.999982373,0.999982373,0.999964747,0.99997356,0.99997356,0.99994712,56732,56732,113464,0.99997356,0.99997356,0.99997356,0.99997356,0.99997356,0.99997356,0.969092063,0.967337478,0.970859873,0.970969277,0.967214849,0.969149975,0.969033933,0.938190738,18911,18911,37822,0.969098675,0.969092063,0.969091954,0.969098675,0.969092063,0.969091954
VotingClassifier,weight_voting_hard,"[0.7832550357508219, 1.282364397639761, 0.5044338303676784, 0.6069911451049436, 1.5374281331790107]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), BernoulliNB(alpha=0.05857603724009097, binarize=0.03756792108913587,
            fit_prior=False), ComplementNB(alpha=0.08533942891319435)]",0.0319749,lin_variation,nonlin_mod,exp_decay,300,80,60,0.739,0.829,0.815,tfidf,5376482,73,0.999850173,0.999788505,0.999911855,0.999911866,0.999788479,0.999850182,0.999850163,0.999700353,56732,56732,113464,0.99985018,0.999850173,0.999850173,0.99985018,0.999850173,0.999850173,0.969541537,0.966580842,0.972540046,0.972714293,0.96636878,0.969637868,0.969444592,0.93910198,18911,18911,37822,0.969560444,0.969541537,0.96954123,0.969560444,0.969541537,0.96954123
VotingClassifier,weight_voting_hard,"[0.31012076269118655, 0.6125108276671177, -0.4628054785867165]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced')]",0.033949094,lin_variation,nonlin_mod,exp_decay,300,100,60,0.739,0.829,0.815,tfidf,6210298,14,1,1,1,1,1,1,1,1,56732,56732,113464,1,1,1,1,1,1,0.965231876,0.960483618,0.970079077,0.970387605,0.960076146,0.965410211,0.965051692,0.930513222,18911,18911,37822,0.965281347,0.965231876,0.965230951,0.965281347,0.965231876,0.965230951
VotingClassifier,weight_voting_hard,"[1.0675666815854954, 1.159238631127633, 0.5546845528054096, -0.19461647807215146, 0.7348135189408115, 0.8772931444794942, -1.0400156308821773]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), BernoulliNB(alpha=0.05857603724009097, binarize=0.03756792108913587,
            fit_prior=False), ComplementNB(alpha=0.08533942891319435), MultinomialNB(alpha=0.07759048342015018), LogisticRegression(class_weight='balanced', solver='saga')]",0.0319749,lin_variation,nonlin_mod,exp_decay,300,100,60,0.739,0.829,0.815,tfidf,10113694,83,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.999964747,56732,56732,113464,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.97004389,0.967202775,0.97291977,0.973084448,0.967003331,0.970134697,0.969952529,0.940105162,18911,18911,37822,0.970061273,0.97004389,0.970043613,0.970061273,0.97004389,0.970043613
VotingClassifier,weight_voting_hard,"[0.977503135662372, 0.3877036208598616, -0.5881155039863539, -0.016903841697041712, 0.879126820710368]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), BernoulliNB(alpha=0.05857603724009097, binarize=0.03756792108913587,
            fit_prior=False), ComplementNB(alpha=0.08533942891319435)]",0.030423747,lin_variation,nonlin_mod,exp_decay,300,100,60,0.739,0.829,0.815,tfidf,6685284,66,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.999964747,56732,56732,113464,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.999982373,0.969700175,0.966738479,0.972699697,0.972872931,0.966527418,0.969796004,0.969603735,0.939419262,18911,18911,37822,0.969719088,0.969700175,0.969699869,0.969719088,0.969700175,0.969699869
VotingClassifier,weight_voting_hard,"[0.42175622761092624, 1.1278937799955706, -1.1691246461719944]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced')]",0.037650709,lin_variation,nonlin_mod,exp_decay,300,80,60,0.739,0.829,0.815,tfidf,5343392,13,1,1,1,1,1,1,1,1,56732,56732,113464,1,1,1,1,1,1,0.965813548,0.960818163,0.970918422,0.971233674,0.960393422,0.965997844,0.965627243,0.931681838,18911,18911,37822,0.965868292,0.965813548,0.965812543,0.965868292,0.965813548,0.965812543
