,n_inter_pso,best_cost,n_particles,n_processes_pso,c1,c2,w,training_time,testing_time,train_accuracy,train_precision_0,train_precision_1,train_recall_0,train_recall_1,train_f1_0,train_f1_1,train_mcc,train_support_0,train_support_1,train_support,train_macro_avg_precision,train_macro_avg_recall,train_macro_avg_f1,train_weighted_avg_precision,train_weighted_avg_recall,train_weighted_avg_f1,test_accuracy,test_precision_0,test_precision_1,test_recall_0,test_recall_1,test_f1_0,test_f1_1,test_mcc,test_support_0,test_support_1,test_support,test_macro_avg_precision,test_macro_avg_recall,test_macro_avg_f1,test_weighted_avg_precision,test_weighted_avg_recall,test_weighted_avg_f1,
0,10,0.094186667,54,60,0.7904,0.671,0.747,39923.2,3.6,0.99996,0.999986668,0.999933341,0.999933333,0.999986667,0.999959998,0.999960002,0.999920004,15000,15000,30000,0.999960004,0.99996,0.99996,0.999960004,0.99996,0.99996,0.91062,0.881638131,0.944377783,0.9486,0.87264,0.9138916,0.907089357,0.823624464,5000,5000,10000,0.913007957,0.91062,0.910490479,0.913007957,0.91062,0.910490479,
1,100,0.093546667,54,60,0.7904,0.671,0.747,370268.8,4.4,0.99994,0.999880015,1,1,0.99988,0.999940004,0.999939996,0.999880008,15000,15000,30000,0.999940008,0.99994,0.99994,0.999940008,0.99994,0.99994,0.91108,0.881604413,0.945526658,0.94972,0.87244,0.914388077,0.907504189,0.824641693,5000,5000,10000,0.913565536,0.91108,0.910946133,0.913565536,0.91108,0.910946133,
2,300,0.09576,54,60,0.7904,0.671,0.747,1100395,4.2,0.999953333,0.99996,0.999946668,0.999946667,0.99996,0.999953333,0.999953334,0.999906667,15000,15000,30000,0.999953334,0.999953333,0.999953333,0.999953334,0.999953333,0.999953333,0.9107,0.881059047,0.945356648,0.9496,0.8718,0.914043286,0.907085343,0.823903991,5000,5000,10000,0.913207848,0.9107,0.910564315,0.913207848,0.9107,0.910564315,
3,500,0.090773333,54,60,0.7904,0.671,0.747,1830632.6,4.2,0.999973333,0.999986668,0.999960004,0.99996,0.999986667,0.999973332,0.999973334,0.999946669,15000,15000,30000,0.999973336,0.999973333,0.999973333,0.999973336,0.999973333,0.999973333,0.91056,0.881790855,0.944023034,0.94824,0.87288,0.913808034,0.907057342,0.823463589,5000,5000,10000,0.912906945,0.91056,0.910432688,0.912906945,0.91056,0.910432688,
,n_particles,best_cost,n_inter_pso,n_processes_pso,c1,c2,w,training_time,testing_time,train_accuracy,train_precision_0,train_precision_1,train_recall_0,train_recall_1,train_f1_0,train_f1_1,train_mcc,train_support_0,train_support_1,train_support,train_macro_avg_precision,train_macro_avg_recall,train_macro_avg_f1,train_weighted_avg_precision,train_weighted_avg_recall,train_weighted_avg_f1,test_accuracy,test_precision_0,test_precision_1,test_recall_0,test_recall_1,test_f1_0,test_f1_1,test_mcc,test_support_0,test_support_1,test_support,test_macro_avg_precision,test_macro_avg_recall,test_macro_avg_f1,test_weighted_avg_precision,test_weighted_avg_recall,test_weighted_avg_f1,
0,10,0.0927,227.5,60,0.7904,0.671,0.747,240929,5,0.999975,0.999966671,0.999983334,0.999983333,0.999966667,0.999975001,0.999974999,0.999950003,15000,15000,30000,0.999975003,0.999975,0.999975,0.999975003,0.999975,0.999975,0.911375,0.883191804,0.944036011,0.94815,0.8746,0.914518236,0.907991631,0.824985862,5000,5000,10000,0.913613908,0.911375,0.911254933,0.913613908,0.911375,0.911254933,
1,30,0.094866667,227.5,60,0.7904,0.671,0.747,534565.5,4,0.999958333,0.999950006,0.999966671,0.999966667,0.99995,0.999958334,0.999958333,0.999916672,15000,15000,30000,0.999958338,0.999958333,0.999958333,0.999958338,0.999958333,0.999958333,0.910075,0.879227087,0.946400305,0.95075,0.8694,0.913587963,0.90626358,0.822884098,5000,5000,10000,0.912813696,0.910075,0.909925771,0.912813696,0.910075,0.909925771,
2,50,0.095366667,227.5,60,0.7904,0.671,0.747,815284.25,3.75,0.999941667,0.999950004,0.999933339,0.999933333,0.99995,0.999941666,0.999941667,0.999883338,15000,15000,30000,0.999941672,0.999941667,0.999941667,0.999941672,0.999941667,0.999941667,0.9103,0.88093188,0.944580081,0.94885,0.87175,0.913629349,0.906703419,0.823052302,5000,5000,10000,0.91275598,0.9103,0.910166384,0.91275598,0.9103,0.910166384,
3,80,0.092766667,227.5,60,0.7904,0.671,0.747,1165117,4,0.99995,0.999933339,0.999966668,0.999966667,0.999933333,0.999950001,0.999949999,0.999900003,15000,15000,30000,0.999950003,0.99995,0.99995,0.999950003,0.99995,0.99995,0.91085,0.881873552,0.944604759,0.9488,0.8729,0.914109392,0.907332485,0.824085642,5000,5000,10000,0.913239155,0.91085,0.910720939,0.913239155,0.91085,0.910720939,
4,100,0.092133333,227.5,60,0.7904,0.671,0.747,1420628.75,3.75,0.999958333,0.999966668,0.999950004,0.99995,0.999966667,0.999958332,0.999958334,0.999916669,15000,15000,30000,0.999958336,0.999958333,0.999958333,0.999958336,0.999958333,0.999958333,0.9111,0.882391235,0.944483999,0.94865,0.87355,0.914318806,0.907629176,0.824534267,5000,5000,10000,0.913437617,0.9111,0.910973991,0.913437617,0.9111,0.910973991,
,estimators,best_cost,n_inter_pso,n_particles,n_processes_pso,c1,c2,w,training_time,testing_time,train_accuracy,train_precision_0,train_precision_1,train_recall_0,train_recall_1,train_f1_0,train_f1_1,train_mcc,train_support_0,train_support_1,train_support,train_macro_avg_precision,train_macro_avg_recall,train_macro_avg_f1,train_weighted_avg_precision,train_weighted_avg_recall,train_weighted_avg_f1,test_accuracy,test_precision_0,test_precision_1,test_recall_0,test_recall_1,test_f1_0,test_f1_1,test_mcc,test_support_0,test_support_1,test_support,test_macro_avg_precision,test_macro_avg_recall,test_macro_avg_f1,test_weighted_avg_precision,test_weighted_avg_recall,test_weighted_avg_f1
0,"[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced')]",0.093566667,227.5,54,60,0.7904,0.671,0.747,835304.9,4.1,0.999956667,0.999953338,0.999960003,0.99996,0.999953333,0.999956667,0.999956666,0.999913337,15000,15000,30000,0.99995667,0.999956667,0.999956667,0.99995667,0.999956667,0.999956667,0.91074,0.881523112,0.944821031,0.94904,0.87244,0.914032749,0.907184058,0.823908434,5000,5000,10000,0.913172071,0.91074,0.910608404,0.913172071,0.91074,0.910608404
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n_inter_pso,,,,n_inter_pso,Accuracy,F1 score (weighted avg.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.91062,0.910490479,,10,91.062,91.04904787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,0.91108,0.910946133,,100,91.108,91.09461328,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,0.9107,0.910564315,,300,91.07,91.05643147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,0.91056,0.910432688,,500,91.056,91.04326882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n_particles,,,,n_particles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.911375,0.911254933,,10,91.1375,91.12549334,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.910075,0.909925771,,30,91.0075,90.99257713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0.9103,0.910166384,,50,91.03,91.01663838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,0.91085,0.910720939,,80,91.085,91.07209386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,0.9111,0.910973991,,100,91.11,91.09739908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
