ensemble_type,strategy,weights,estimators,best_cost,c1_strategy,c2_strategy,w_strategy,n_inter_pso,n_particles,n_processes_pso,c1,c2,w,features,training_time,testing_time,train_accuracy,train_precision_0,train_precision_1,train_recall_0,train_recall_1,train_f1_0,train_f1_1,train_mcc,train_support_0,train_support_1,train_support,train_macro_avg_precision,train_macro_avg_recall,train_macro_avg_f1,train_weighted_avg_precision,train_weighted_avg_recall,train_weighted_avg_f1,test_accuracy,test_precision_0,test_precision_1,test_recall_0,test_recall_1,test_f1_0,test_f1_1,test_mcc,test_support_0,test_support_1,test_support,test_macro_avg_precision,test_macro_avg_recall,test_macro_avg_f1,test_weighted_avg_precision,test_weighted_avg_recall,test_weighted_avg_f1
VotingClassifier,EnsembleStrategy.weight_voting_soft,"[119.2479777476926, 75.3460331606614, 151.73629424757797]","[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced')]",0.0872,exp_decay,exp_decay,exp_decay,100,10,60,0.739,0.618,0.895,tfidf,107625,4,0.999966667,1,0.999933338,0.999933333,1,0.999966666,0.999966668,0.999933336,15000,15000,30000,0.999966669,0.999966667,0.999966667,0.999966669,0.999966667,0.999966667,0.9128,0.885794393,0.943870968,0.9478,0.8778,0.915748792,0.909637306,0.827630184,5000,5000,10000,0.91483268,0.9128,0.912693049,0.91483268,0.9128,0.912693049
VotingClassifier,EnsembleStrategy.weight_voting_soft,"[13926553.196066223, 450961.09490353713, 695593.0746740468, 14708780.657786025, -1483592.9157720348, 27238.372874498127, -21652569.51076572]","[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), RandomForestClassifier(class_weight='balanced', criterion='entropy'), BernoulliNB(alpha=0.10460371036792848, binarize=0.042937660594707605), MultinomialNB(alpha=0.138110891026767), LogisticRegression(class_weight='balanced', max_iter=125, solver='saga')]",0.078,exp_decay,exp_decay,exp_decay,100,10,60,0.726,0.957,0.835,tfidf,18035027,1626,0.999966667,1,0.999933338,0.999933333,1,0.999966666,0.999966668,0.999933336,15000,15000,30000,0.999966669,0.999966667,0.999966667,0.999966669,0.999966667,0.999966667,0.9079,0.907167099,0.908635544,0.9088,0.907,0.907982815,0.907817035,0.815801322,5000,5000,10000,0.907901322,0.9079,0.907899925,0.907901322,0.9079,0.907899925
VotingClassifier,EnsembleStrategy.weight_voting_soft,"[-327.3362053986001, 23279.27447347605, 287.64559012675915, 8867.764912208131, 2652.5304210225095]","[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), RandomForestClassifier(class_weight='balanced', criterion='entropy'), BernoulliNB(alpha=0.10460371036792848, binarize=0.042937660594707605)]",0.0876,exp_decay,exp_decay,exp_decay,100,10,60,0.907,0.569,0.89,tfidf,18311944,1655,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9127,0.885340803,0.944241119,0.9482,0.8772,0.915692902,0.909486781,0.827488319,5000,5000,10000,0.914790961,0.9127,0.912589841,0.914790961,0.9127,0.912589841
VotingClassifier,EnsembleStrategy.weight_voting_soft,"[119.2479777476926, 75.3460331606614, 151.73629424757797]","[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced')]",0.0872,exp_decay,exp_decay,exp_decay,100,10,60,0.739,0.618,0.895,tfidf,107625,4,0.999966667,1,0.999933338,0.999933333,1,0.999966666,0.999966668,0.999933336,15000,15000,30000,0.999966669,0.999966667,0.999966667,0.999966669,0.999966667,0.999966667,0.9128,0.885794393,0.943870968,0.9478,0.8778,0.915748792,0.909637306,0.827630184,5000,5000,10000,0.91483268,0.9128,0.912693049,0.91483268,0.9128,0.912693049
VotingClassifier,EnsembleStrategy.weight_voting_soft,"[13926553.196066223, 450961.09490353713, 695593.0746740468, 14708780.657786025, -1483592.9157720348, 27238.372874498127, -21652569.51076572]","[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), RandomForestClassifier(class_weight='balanced', criterion='entropy'), BernoulliNB(alpha=0.10460371036792848, binarize=0.042937660594707605), MultinomialNB(alpha=0.138110891026767), LogisticRegression(class_weight='balanced', max_iter=125, solver='saga')]",0.078,exp_decay,exp_decay,exp_decay,100,10,60,0.726,0.957,0.835,tfidf,18035027,1626,0.999966667,1,0.999933338,0.999933333,1,0.999966666,0.999966668,0.999933336,15000,15000,30000,0.999966669,0.999966667,0.999966667,0.999966669,0.999966667,0.999966667,0.9079,0.907167099,0.908635544,0.9088,0.907,0.907982815,0.907817035,0.815801322,5000,5000,10000,0.907901322,0.9079,0.907899925,0.907901322,0.9079,0.907899925
VotingClassifier,EnsembleStrategy.weight_voting_soft,"[-327.3362053986001, 23279.27447347605, 287.64559012675915, 8867.764912208131, 2652.5304210225095]","[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), RandomForestClassifier(class_weight='balanced', criterion='entropy'), BernoulliNB(alpha=0.10460371036792848, binarize=0.042937660594707605)]",0.0876,exp_decay,exp_decay,exp_decay,100,10,60,0.907,0.569,0.89,tfidf,18311944,1655,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9127,0.885340803,0.944241119,0.9482,0.8772,0.915692902,0.909486781,0.827488319,5000,5000,10000,0.914790961,0.9127,0.912589841,0.914790961,0.9127,0.912589841
VotingClassifier,EnsembleStrategy.weight_voting_hard,"[256.69423084264076, 7803.456200252613, 1069.5700790884468]","[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced')]",0.092266667,exp_decay,exp_decay,exp_decay,100,10,60,0.97,0.734,0.826,tfidf,127563,222,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9127,0.888240828,0.940448239,0.9442,0.8812,0.915365972,0.909860609,0.827042898,5000,5000,10000,0.914344533,0.9127,0.912613291,0.914344533,0.9127,0.912613291
VotingClassifier,EnsembleStrategy.weight_voting_hard,"[0.24522897187717918, 1.1903354370311092, 0.5513613399496513, 2.4375566637369883, 1.374380526795932, 1.3646367813103015, 0.43189256329940484]","[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), RandomForestClassifier(class_weight='balanced', criterion='entropy'), BernoulliNB(alpha=0.10460371036792848, binarize=0.042937660594707605), MultinomialNB(alpha=0.138110891026767), LogisticRegression(class_weight='balanced', max_iter=125, solver='saga')]",0.091333333,exp_decay,exp_decay,exp_decay,100,10,60,0.905,0.548,0.58,tfidf,18256570,1945,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9097,0.886290779,0.936129444,0.94,0.8794,0.912355625,0.906878416,0.820908723,5000,5000,10000,0.911210112,0.9097,0.90961702,0.911210112,0.9097,0.90961702
VotingClassifier,EnsembleStrategy.weight_voting_hard,"[0.45589461944675536, 0.5971278288115002, 0.316582434170098, 0.8273323171276724, 0.05313844595704664]","[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), RandomForestClassifier(class_weight='balanced', criterion='entropy'), BernoulliNB(alpha=0.10460371036792848, binarize=0.042937660594707605)]",0.0924,exp_decay,exp_decay,exp_decay,100,10,60,0.51,0.827,0.588,tfidf,18240030,1908,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9117,0.884982233,0.942402751,0.9464,0.877,0.914661254,0.908525847,0.825390087,5000,5000,10000,0.913692492,0.9117,0.911593551,0.913692492,0.9117,0.911593551
VotingClassifier,EnsembleStrategy.weight_voting_soft,"[119.2479777476926, 75.3460331606614, 151.73629424757797]","[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced')]",0.0872,exp_decay,exp_decay,exp_decay,100,10,60,0.739,0.618,0.895,tfidf,107625,4,0.999966667,1,0.999933338,0.999933333,1,0.999966666,0.999966668,0.999933336,15000,15000,30000,0.999966669,0.999966667,0.999966667,0.999966669,0.999966667,0.999966667,0.9128,0.885794393,0.943870968,0.9478,0.8778,0.915748792,0.909637306,0.827630184,5000,5000,10000,0.91483268,0.9128,0.912693049,0.91483268,0.9128,0.912693049
