ensemble_type,strategy,weights,estimators,best_cost,c1_strategy,c2_strategy,w_strategy,n_inter_pso,n_particles,n_processes_pso,c1,c2,w,features,training_time,testing_time,train_accuracy,train_precision_0,train_precision_1,train_recall_0,train_recall_1,train_f1_0,train_f1_1,train_mcc,train_support_0,train_support_1,train_support,train_macro_avg_precision,train_macro_avg_recall,train_macro_avg_f1,train_weighted_avg_precision,train_weighted_avg_recall,train_weighted_avg_f1,test_accuracy,test_precision_0,test_precision_1,test_recall_0,test_recall_1,test_f1_0,test_f1_1,test_mcc,test_support_0,test_support_1,test_support,test_macro_avg_precision,test_macro_avg_recall,test_macro_avg_f1,test_weighted_avg_precision,test_weighted_avg_recall,test_weighted_avg_f1
VotingClassifier,EnsembleStrategy.weight_voting_soft,"[0.20957193051188366, 0.8431856720840757, 0.5764469288435975]","[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced')]",0.09440000000000004,exp_decay,lin_variation,exp_decay,10,10,60,0.7904,0.671,0.747,tfidf,13043,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15000,15000,30000,1.0,1.0,1.0,1.0,1.0,1.0,0.9113,0.8831749580771381,0.943880854737751,0.948,0.8746,0.914440050159159,0.9079206892972076,0.8248248975519153,5000,5000,10000,0.9135279064074445,0.9113,0.9111803697281833,0.9135279064074446,0.9113,0.9111803697281834
VotingClassifier,EnsembleStrategy.weight_voting_soft,"[0.7435551645982736, 1.0082006208742904, 0.1324209613629884]","[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced')]",0.09240000000000004,exp_decay,lin_variation,exp_decay,10,30,60,0.7904,0.671,0.747,tfidf,26364,3,0.9999666666666667,0.9999333377774815,1.0,1.0,0.9999333333333333,0.9999666677777408,0.9999666655555185,0.9999333355554074,15000,15000,30000,0.9999666688887408,0.9999666666666667,0.9999666666666296,0.9999666688887408,0.9999666666666667,0.9999666666666297,0.9091,0.878305899759571,0.9453516220335293,0.9498,0.8684,0.9126549437878352,0.9052434066506828,0.8209242256938911,5000,5000,10000,0.9118287608965501,0.9091,0.908949175219259,0.9118287608965502,0.9091,0.9089491752192589
VotingClassifier,EnsembleStrategy.weight_voting_soft,"[0.8668548026137752, 0.8849671993695151, 0.18491915141213244]","[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced')]",0.09906666666666664,exp_decay,lin_variation,exp_decay,10,50,60,0.7904,0.671,0.747,tfidf,39181,4,0.9999333333333333,1.0,0.9998666844420744,0.9998666666666667,1.0,0.9999333288885925,0.9999333377774814,0.9998666755543705,15000,15000,30000,0.9999333422210372,0.9999333333333333,0.9999333333330369,0.9999333422210371,0.9999333333333333,0.9999333333330369,0.9097,0.8799851604526062,0.9444564981557821,0.9488,0.8706,0.9130978731594649,0.9060256009990635,0.8219169636062473,5000,5000,10000,0.9122208293041942,0.9097,0.9095617370792641,0.9122208293041942,0.9097,0.9095617370792642
VotingClassifier,EnsembleStrategy.weight_voting_soft,"[0.3471456615698508, 0.8989544060615448, 0.11343626315776598]","[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced')]",0.09413333333333329,exp_decay,lin_variation,exp_decay,10,80,60,0.7904,0.671,0.747,tfidf,54107,4,0.9999666666666667,1.0,0.9999333377774815,0.9999333333333333,1.0,0.9999666655555185,0.9999666677777408,0.9999333355554074,15000,15000,30000,0.9999666688887408,0.9999666666666667,0.9999666666666296,0.9999666688887408,0.9999666666666667,0.9999666666666297,0.9112,0.8838685586258401,0.9427217915590008,0.9468,0.8756,0.9142526071842411,0.9079220240564082,0.8244925129993681,5000,5000,10000,0.9132951750924205,0.9112,0.9110873156203246,0.9132951750924205,0.9112,0.9110873156203246
VotingClassifier,EnsembleStrategy.weight_voting_soft,"[0.8415363740738678, 0.6917101689160349, 0.4362391250842165]","[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced')]",0.09093333333333331,exp_decay,lin_variation,exp_decay,10,100,60,0.7904,0.671,0.747,tfidf,66921,3,0.9999333333333333,1.0,0.9998666844420744,0.9998666666666667,1.0,0.9999333288885925,0.9999333377774814,0.9998666755543705,15000,15000,30000,0.9999333422210372,0.9999333333333333,0.9999333333330369,0.9999333422210371,0.9999333333333333,0.9999333333330369,0.9118,0.8828560803272592,0.945478147987884,0.9496,0.874,0.9150125264983618,0.9083350654749532,0.8259637222301909,5000,5000,10000,0.9141671141575716,0.9117999999999999,0.9116737959866575,0.9141671141575717,0.9118,0.9116737959866575
VotingClassifier,EnsembleStrategy.weight_voting_soft,"[-0.09788846311342811, 0.5651848209152566, 0.7681437850204644]","[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced')]",0.0928,exp_decay,lin_variation,exp_decay,100,10,60,0.7904,0.671,0.747,tfidf,107765,5,0.9999333333333333,0.9998666844420744,1.0,1.0,0.9998666666666667,0.9999333377774814,0.9999333288885925,0.9998666755543705,15000,15000,30000,0.9999333422210372,0.9999333333333333,0.9999333333330369,0.9999333422210371,0.9999333333333333,0.9999333333330369,0.9112,0.8838685586258401,0.9427217915590008,0.9468,0.8756,0.9142526071842411,0.9079220240564082,0.8244925129993681,5000,5000,10000,0.9132951750924205,0.9112,0.9110873156203246,0.9132951750924205,0.9112,0.9110873156203246
VotingClassifier,EnsembleStrategy.weight_voting_soft,"[0.9604514421559366, 0.4542484373196092, 0.496549961490484]","[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced')]",0.09653333333333336,exp_decay,lin_variation,exp_decay,100,30,60,0.7904,0.671,0.747,tfidf,237007,5,0.9999333333333333,0.9998666844420744,1.0,1.0,0.9998666666666667,0.9999333377774814,0.9999333288885925,0.9998666755543705,15000,15000,30000,0.9999333422210372,0.9999333333333333,0.9999333333330369,0.9999333422210371,0.9999333333333333,0.9999333333330369,0.911,0.8783136966126657,0.9498686514886164,0.9542,0.8678,0.9146855828220858,0.9069816053511706,0.8250853835447904,5000,5000,10000,0.914091174050641,0.911,0.9108335940866281,0.914091174050641,0.911,0.9108335940866282
VotingClassifier,EnsembleStrategy.weight_voting_soft,"[0.17775351903605124, 0.8897192997228069, -0.06880961023935149]","[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced')]",0.09319999999999995,exp_decay,lin_variation,exp_decay,100,50,60,0.7904,0.671,0.747,tfidf,361351,4,0.9999333333333333,0.9998666844420744,1.0,1.0,0.9998666666666667,0.9999333377774814,0.9999333288885925,0.9998666755543705,15000,15000,30000,0.9999333422210372,0.9999333333333333,0.9999333333330369,0.9999333422210371,0.9999333333333333,0.9999333333330369,0.9109,0.8828023104155022,0.9434491690049643,0.9476,0.8742,0.9140542104755476,0.9075054500155714,0.8240227337808947,5000,5000,10000,0.9131257397102333,0.9109,0.9107798302455594,0.9131257397102333,0.9109,0.9107798302455594
VotingClassifier,EnsembleStrategy.weight_voting_soft,"[1.079226029295324, 0.8427346509519396, 0.09259113657729003]","[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced')]",0.09360000000000002,exp_decay,lin_variation,exp_decay,100,80,60,0.7904,0.671,0.747,tfidf,511322,4,0.9999333333333333,0.9998666844420744,1.0,1.0,0.9998666666666667,0.9999333377774814,0.9999333288885925,0.9998666755543705,15000,15000,30000,0.9999333422210372,0.9999333333333333,0.9999333333330369,0.9999333422210371,0.9999333333333333,0.9999333333330369,0.9104,0.8790173623937939,0.9474487570867859,0.9518,0.869,0.913961974265412,0.90653035677029,0.8236281872724245,5000,5000,10000,0.9132330597402899,0.9104,0.9102461655178511,0.9132330597402899,0.9104,0.9102461655178511
VotingClassifier,EnsembleStrategy.weight_voting_soft,"[0.19565694474109518, 1.3607457791911337, 0.7566315085127943]","[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced')]",0.09160000000000001,exp_decay,lin_variation,exp_decay,100,100,60,0.7904,0.671,0.747,tfidf,633899,4,0.9999666666666667,0.9999333377774815,1.0,1.0,0.9999333333333333,0.9999666677777408,0.9999666655555185,0.9999333355554074,15000,15000,30000,0.9999666688887408,0.9999666666666667,0.9999666666666296,0.9999666688887408,0.9999666666666667,0.9999666666666297,0.9119,0.8840201379824725,0.9441449212853138,0.9482,0.8756,0.9149860079127665,0.9085815087682889,0.8259796461322776,5000,5000,10000,0.9140825296338931,0.9119,0.9117837583405277,0.9140825296338931,0.9119,0.9117837583405278
