ensemble_type,strategy,weights,estimators,best_cost,c1_strategy,c2_strategy,w_strategy,n_inter_pso,n_particles,n_processes_pso,c1,c2,w,features,training_time,testing_time,train_accuracy,train_precision_0,train_precision_1,train_recall_0,train_recall_1,train_f1_0,train_f1_1,train_mcc,train_support_0,train_support_1,train_support,train_macro_avg_precision,train_macro_avg_recall,train_macro_avg_f1,train_weighted_avg_precision,train_weighted_avg_recall,train_weighted_avg_f1,test_accuracy,test_precision_0,test_precision_1,test_recall_0,test_recall_1,test_f1_0,test_f1_1,test_mcc,test_support_0,test_support_1,test_support,test_macro_avg_precision,test_macro_avg_recall,test_macro_avg_f1,test_weighted_avg_precision,test_weighted_avg_recall,test_weighted_avg_f1
VotingClassifier,EnsembleStrategy.weight_voting_soft,"[0.5834141966913379, 0.26328496134042445, 0.38015198970331293]","[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced')]",0.091466667,exp_decay,lin_variation,exp_decay,100,10,60,0.7904,0.671,0.747,tfidf,107317,4,0.999966667,1,0.999933338,0.999933333,1,0.999966666,0.999966668,0.999933336,15000,15000,30000,0.999966669,0.999966667,0.999966667,0.999966669,0.999966667,0.999966667,0.9166,0.886743409,0.951452102,0.9552,0.878,0.919699596,0.913251508,0.835694023,5000,5000,10000,0.919097756,0.9166,0.916475552,0.919097756,0.9166,0.916475552
VotingClassifier,EnsembleStrategy.weight_voting_soft,"[0.7290585062204572, 0.4931643352628311, 0.3633809807626542]","[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced')]",0.0932,exp_decay,lin_variation,exp_decay,100,10,60,0.7904,0.671,0.747,tfidf,106833,5,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9157,0.88655384,0.949599827,0.9534,0.878,0.918762648,0.912397381,0.833773446,5000,5000,10000,0.918076834,0.9157,0.915580015,0.918076834,0.9157,0.915580015
VotingClassifier,EnsembleStrategy.weight_voting_soft,"[0.7049448377751052, 0.9502883736021063, 0.24389621828440364]","[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced')]",0.094133333,exp_decay,lin_variation,exp_decay,100,10,60,0.7904,0.671,0.747,tfidf,106546,4,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9129,0.882244029,0.948901935,0.953,0.8728,0.916258052,0.909261381,0.82846867,5000,5000,10000,0.915572982,0.9129,0.912759717,0.915572982,0.9129,0.912759717
VotingClassifier,EnsembleStrategy.weight_voting_soft,"[0.39310854306793175, 0.34356392052512585, -0.2359570894285234]","[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced')]",0.089866667,exp_decay,lin_variation,exp_decay,100,10,60,0.7904,0.671,0.747,tfidf,106419,5,0.999966667,1,0.999933338,0.999933333,1,0.999966666,0.999966668,0.999933336,15000,15000,30000,0.999966669,0.999966667,0.999966667,0.999966669,0.999966667,0.999966667,0.9118,0.881014064,0.947998259,0.9522,0.8714,0.915224913,0.908086703,0.82630173,5000,5000,10000,0.914506162,0.9118,0.911655808,0.914506162,0.9118,0.911655808
VotingClassifier,EnsembleStrategy.weight_voting_soft,"[0.9706597812471902, 0.5840439428368803, 0.2580520763429459]","[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced')]",0.095733333,exp_decay,lin_variation,exp_decay,100,10,60,0.7904,0.671,0.747,tfidf,106335,5,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9114,0.881774313,0.946010408,0.9502,0.8726,0.91470928,0.907823554,0.825288597,5000,5000,10000,0.91389236,0.9114,0.911266417,0.91389236,0.9114,0.911266417
VotingClassifier,EnsembleStrategy.weight_voting_soft,"[0.8533882563787847, 0.36428751386093766, 0.3629099488189799]","[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced')]",0.086266667,exp_decay,lin_variation,exp_decay,100,10,60,0.7904,0.671,0.747,tfidf,108208,5,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9113,0.877824729,0.951283739,0.9556,0.867,0.915062721,0.907188448,0.825847823,5000,5000,10000,0.914554234,0.9113,0.911125585,0.914554234,0.9113,0.911125585
VotingClassifier,EnsembleStrategy.weight_voting_soft,"[0.8527361558929248, 1.121290102648832, 0.46410985578612857]","[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced')]",0.0948,exp_decay,lin_variation,exp_decay,100,10,60,0.7904,0.671,0.747,tfidf,108392,3,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9092,0.87804878,0.945945946,0.9504,0.868,0.912792931,0.90529829,0.821192599,5000,5000,10000,0.911997363,0.9092,0.90904561,0.911997363,0.9092,0.90904561
VotingClassifier,EnsembleStrategy.weight_voting_soft,"[0.44219475726268653, 0.2699613971965902, 0.0584714166297764]","[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced')]",0.09,exp_decay,lin_variation,exp_decay,100,10,60,0.7904,0.671,0.747,tfidf,107518,4,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9092,0.878888889,0.944782609,0.9492,0.8692,0.912692308,0.905416667,0.821031518,5000,5000,10000,0.911835749,0.9092,0.909054487,0.911835749,0.9092,0.909054487
VotingClassifier,EnsembleStrategy.weight_voting_soft,"[0.4090345120560098, 0.38037765305740906, 0.17968921022004472]","[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced')]",0.0892,exp_decay,lin_variation,exp_decay,100,10,60,0.7904,0.671,0.747,tfidf,106691,4,0.999966667,1,0.999933338,0.999933333,1,0.999966666,0.999966668,0.999933336,15000,15000,30000,0.999966669,0.999966667,0.999966667,0.999966669,0.999966667,0.999966667,0.908,0.876244928,0.945609436,0.9502,0.8658,0.911725197,0.903946544,0.818921951,5000,5000,10000,0.910927182,0.908,0.90783587,0.910927182,0.908,0.90783587
VotingClassifier,EnsembleStrategy.weight_voting_soft,"[0.7501228495758893, 0.8920596761055026, 0.5660150891648066]","[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced')]",0.0908,exp_decay,lin_variation,exp_decay,100,10,60,0.7904,0.671,0.747,tfidf,107291,4,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9061,0.87414778,0.944019243,0.9488,0.8634,0.909945334,0.901911626,0.815178052,5000,5000,10000,0.909083512,0.9061,0.90592848,0.909083512,0.9061,0.90592848
