ensemble_type,strategy,weights,estimators,best_cost,c1_strategy,c2_strategy,w_strategy,n_inter_pso,n_particles,n_processes_pso,c1,c2,w,features,training_time,testing_time,train_accuracy,train_precision_0,train_precision_1,train_recall_0,train_recall_1,train_f1_0,train_f1_1,train_mcc,train_support_0,train_support_1,train_support,train_macro_avg_precision,train_macro_avg_recall,train_macro_avg_f1,train_weighted_avg_precision,train_weighted_avg_recall,train_weighted_avg_f1,test_accuracy,test_precision_0,test_precision_1,test_recall_0,test_recall_1,test_f1_0,test_f1_1,test_mcc,test_support_0,test_support_1,test_support,test_macro_avg_precision,test_macro_avg_recall,test_macro_avg_f1,test_weighted_avg_precision,test_weighted_avg_recall,test_weighted_avg_f1
VotingClassifier,EnsembleStrategy.weight_voting_soft,"[0.18512384090459044, 0.865894503996123, 0.8693833629734476, 0.8712445998136094, 0.5409956977717152, 0.5047313262440108, 0.29996259384569235]","[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), RandomForestClassifier(class_weight='balanced', criterion='entropy'), BernoulliNB(alpha=0.10460371036792848, binarize=0.042937660594707605), MultinomialNB(alpha=0.138110891026767), LogisticRegression(class_weight='balanced', max_iter=125, solver='saga')]",0.088666667,exp_decay,exp_decay,exp_decay,100,10,60,0.668,0.6,0.948,tfidf,18268173,1634,0.998866667,0.997738459,1,1,0.997733333,0.99886795,0.998865381,0.997735896,15000,15000,30000,0.99886923,0.998866667,0.998866665,0.99886923,0.998866667,0.998866665,0.9085,0.880566424,0.940859055,0.9452,0.8718,0.911739172,0.905014014,0.819209751,5000,5000,10000,0.91071274,0.9085,0.908376593,0.91071274,0.9085,0.908376593
VotingClassifier,EnsembleStrategy.weight_voting_soft,"[-42.956552320250736, -38.79706949900351, -160.47065334215912, -52.24619942404795, -21.872464608581105]","[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), RandomForestClassifier(class_weight='balanced', criterion='entropy'), BernoulliNB(alpha=0.10460371036792848, binarize=0.042937660594707605)]",0.092533333,exp_decay,exp_decay,exp_decay,100,10,60,0.932,0.868,0.696,tfidf,18087429,1711,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9104,0.880705009,0.945119306,0.9494,0.8714,0.913763234,0.906763788,0.823308325,5000,5000,10000,0.912912158,0.9104,0.910263511,0.912912158,0.9104,0.910263511
VotingClassifier,EnsembleStrategy.weight_voting_hard,"[0.36224607040775514, 0.08010678366182278, 0.246117406330833, 0.5739897820520681, 0.29883790204670835, 0.5914778057569637, 0.0250380921845319]","[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), RandomForestClassifier(class_weight='balanced', criterion='entropy'), BernoulliNB(alpha=0.10460371036792848, binarize=0.042937660594707605), MultinomialNB(alpha=0.138110891026767), LogisticRegression(class_weight='balanced', max_iter=125, solver='saga')]",0.0944,exp_decay,exp_decay,exp_decay,100,10,60,0.922,0.877,0.715,tfidf,17909233,1940,0.9998,0.999666756,0.999933316,0.999933333,0.999666667,0.999800027,0.999799973,0.999600036,15000,15000,30000,0.999800036,0.9998,0.9998,0.999800036,0.9998,0.9998,0.9069,0.885541027,0.930764345,0.9346,0.8792,0.909409361,0.90424766,0.815051723,5000,5000,10000,0.908152686,0.9069,0.90682851,0.908152686,0.9069,0.90682851
VotingClassifier,EnsembleStrategy.weight_voting_hard,"[1488.922951665682, 1034.112053078595, 470.6610519932847, 3683.500221182244, 3884.188275639636]","[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), RandomForestClassifier(class_weight='balanced', criterion='entropy'), BernoulliNB(alpha=0.10460371036792848, binarize=0.042937660594707605)]",0.091066667,exp_decay,exp_decay,exp_decay,100,10,60,0.98,0.908,0.918,tfidf,18241494,1908,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9063,0.875994818,0.941918643,0.9466,0.866,0.909929828,0.902365322,0.815252401,5000,5000,10000,0.90895673,0.9063,0.906147575,0.90895673,0.9063,0.906147575
VotingClassifier,EnsembleStrategy.weight_voting_soft,"[1.6796586744401185, 1.20693707097362, 1.6388325305852072, 2.3829001831535432, 0.39192721451045487, 1.1857009795738738, 0.2097247831890114]","[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), RandomForestClassifier(class_weight='balanced', criterion='entropy'), BernoulliNB(alpha=0.10460371036792848, binarize=0.042937660594707605), MultinomialNB(alpha=0.138110891026767), LogisticRegression(class_weight='balanced', max_iter=125, solver='saga')]",0.0864,exp_decay,nonlin_mod,exp_decay,100,10,60,0.967,0.888,0.907,tfidf,18173553,1781,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9099,0.88215551,0.941988355,0.9462,0.8736,0.913056065,0.906506174,0.821969063,5000,5000,10000,0.912071932,0.9099,0.909781119,0.912071932,0.9099,0.909781119
VotingClassifier,EnsembleStrategy.weight_voting_soft,"[1.176011239705932, 0.46459170502458647, 0.9305955830529574, 1.726692244867269, 0.7856247962494588]","[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), RandomForestClassifier(class_weight='balanced', criterion='entropy'), BernoulliNB(alpha=0.10460371036792848, binarize=0.042937660594707605)]",0.090266667,exp_decay,nonlin_mod,exp_decay,100,10,60,0.592,0.584,0.825,tfidf,18193183,1660,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9105,0.880022218,0.946292672,0.9506,0.8704,0.913950582,0.906761121,0.823653158,5000,5000,10000,0.913157445,0.9105,0.910355851,0.913157445,0.9105,0.910355851
VotingClassifier,EnsembleStrategy.weight_voting_hard,"[0.4288489859765099, 2.0553334271917687, 1.660224202793763, 1.6229514959943216, 2.192235984363264, 1.833703298444998, 0.60288833821416]","[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), RandomForestClassifier(class_weight='balanced', criterion='entropy'), BernoulliNB(alpha=0.10460371036792848, binarize=0.042937660594707605), MultinomialNB(alpha=0.138110891026767), LogisticRegression(class_weight='balanced', max_iter=125, solver='saga')]",0.086266667,exp_decay,nonlin_mod,exp_decay,100,10,60,0.83,0.904,0.897,tfidf,18165595,1955,0.9998,0.999666756,0.999933316,0.999933333,0.999666667,0.999800027,0.999799973,0.999600036,15000,15000,30000,0.999800036,0.9998,0.9998,0.999800036,0.9998,0.9998,0.9097,0.882968779,0.940442916,0.9446,0.8748,0.912745193,0.906434566,0.821403398,5000,5000,10000,0.911705847,0.9097,0.90958988,0.911705847,0.9097,0.90958988
VotingClassifier,EnsembleStrategy.weight_voting_hard,"[0.6816454385511928, 0.32235066159536985, 0.729919680588512, 0.34634162761826576, 0.5955919098066379]","[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), RandomForestClassifier(class_weight='balanced', criterion='entropy'), BernoulliNB(alpha=0.10460371036792848, binarize=0.042937660594707605)]",0.093866667,exp_decay,nonlin_mod,exp_decay,100,10,60,0.727,0.533,0.645,tfidf,18225810,1830,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.911,0.883395522,0.942887931,0.947,0.875,0.914092664,0.907676349,0.824138944,5000,5000,10000,0.913141727,0.911,0.910884506,0.913141727,0.911,0.910884506
VotingClassifier,EnsembleStrategy.weight_voting_soft,"[0.27074569741480303, 0.26266759046240934, 0.5752943409229039, 0.8157128463305467, -0.04404854635730104, 0.21674290213419498, 0.2782506123314309]","[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), RandomForestClassifier(class_weight='balanced', criterion='entropy'), BernoulliNB(alpha=0.10460371036792848, binarize=0.042937660594707605), MultinomialNB(alpha=0.138110891026767), LogisticRegression(class_weight='balanced', max_iter=125, solver='saga')]",0.092,exp_decay,lin_variation,exp_decay,100,10,60,0.773,0.937,0.532,tfidf,18316828,1683,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9078,0.883992467,0.934754797,0.9388,0.8768,0.91057226,0.904850361,0.817172117,5000,5000,10000,0.909373632,0.9078,0.907711311,0.909373632,0.9078,0.907711311
VotingClassifier,EnsembleStrategy.weight_voting_soft,"[0.5644393004752944, 0.5493211711683847, 0.07574662561145018, 0.9958807079885484, 0.22456056191952944]","[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), RandomForestClassifier(class_weight='balanced', criterion='entropy'), BernoulliNB(alpha=0.10460371036792848, binarize=0.042937660594707605)]",0.089466667,exp_decay,lin_variation,exp_decay,100,10,60,0.568,0.84,0.541,tfidf,18152771,1716,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9081,0.878782254,0.942336874,0.9468,0.8694,0.91152402,0.904400291,0.818655869,5000,5000,10000,0.910559564,0.9081,0.907962156,0.910559564,0.9081,0.907962156
VotingClassifier,EnsembleStrategy.weight_voting_hard,"[2.3047128646297588, 2.195663311674152, 1.2991672094200482, 0.9397342727276151, 0.1292476959040509, 5.236473784587207, -1.3417198321357864]","[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), RandomForestClassifier(class_weight='balanced', criterion='entropy'), BernoulliNB(alpha=0.10460371036792848, binarize=0.042937660594707605), MultinomialNB(alpha=0.138110891026767), LogisticRegression(class_weight='balanced', max_iter=125, solver='saga')]",0.084666667,exp_decay,lin_variation,exp_decay,100,10,60,0.874,0.874,0.959,tfidf,18188460,1905,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9099,0.888089377,0.934308116,0.938,0.8818,0.912362611,0.907294989,0.821097719,5000,5000,10000,0.911198747,0.9099,0.9098288,0.911198747,0.9099,0.9098288
VotingClassifier,EnsembleStrategy.weight_voting_hard,"[0.8071280666765808, 0.4126450290438225, 0.3853330317678802, 1.0153546965048763, 0.6873450264113586]","[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), RandomForestClassifier(class_weight='balanced', criterion='entropy'), BernoulliNB(alpha=0.10460371036792848, binarize=0.042937660594707605)]",0.0988,exp_decay,lin_variation,exp_decay,100,10,60,0.848,0.525,0.793,tfidf,18092554,1893,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9093,0.879192144,0.944601347,0.949,0.8696,0.912763297,0.905550349,0.82119264,5000,5000,10000,0.911896745,0.9093,0.909156823,0.911896745,0.9093,0.909156823
VotingClassifier,EnsembleStrategy.weight_voting_soft,"[1.0325574111247198, 1.4378824023770547, -3.9007641250162766, 3.8971596141219664, -0.934023283241643, 2.2731294499382786, -0.027645164576646265]","[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), RandomForestClassifier(class_weight='balanced', criterion='entropy'), BernoulliNB(alpha=0.10460371036792848, binarize=0.042937660594707605), MultinomialNB(alpha=0.138110891026767), LogisticRegression(class_weight='balanced', max_iter=125, solver='saga')]",0.0768,nonlin_mod,exp_decay,exp_decay,100,10,60,0.902,0.532,0.982,tfidf,18301031,1653,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.8973,0.91549885,0.880628473,0.8754,0.9192,0.895000511,0.89950093,0.795363295,5000,5000,10000,0.898063661,0.8973,0.89725072,0.898063661,0.8973,0.89725072
VotingClassifier,EnsembleStrategy.weight_voting_soft,"[0.5960322928248368, 0.4896183257646133, 0.33098724739778973, 0.7725848615652262, 0.14275991614967065]","[SGDClassifier(class_weight='balanced', eta0=0.8102054986375052,
              learning_rate='constant', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), RandomForestClassifier(class_weight='balanced', criterion='entropy'), BernoulliNB(alpha=0.10460371036792848, binarize=0.042937660594707605)]",0.0908,nonlin_mod,exp_decay,exp_decay,100,10,60,0.983,0.586,0.6,tfidf,18093499,1678,1,1,1,1,1,1,1,1,15000,15000,30000,1,1,1,1,1,1,0.9108,0.882637854,0.94343696,0.9476,0.874,0.913966049,0.907392027,0.823834369,5000,5000,10000,0.913037407,0.9108,0.910679038,0.913037407,0.9108,0.910679038
