ensemble_type,strategy,weights,estimators,best_cost,c1_strategy,c2_strategy,w_strategy,n_inter_pso,n_particles,n_processes_pso,c1,c2,w,features,training_time,testing_time,train_accuracy,train_precision_0,train_precision_1,train_recall_0,train_recall_1,train_f1_0,train_f1_1,train_mcc,train_support_0,train_support_1,train_support,train_macro_avg_precision,train_macro_avg_recall,train_macro_avg_f1,train_weighted_avg_precision,train_weighted_avg_recall,train_weighted_avg_f1,test_accuracy,test_precision_0,test_precision_1,test_recall_0,test_recall_1,test_f1_0,test_f1_1,test_mcc,test_support_0,test_support_1,test_support,test_macro_avg_precision,test_macro_avg_recall,test_macro_avg_f1,test_weighted_avg_precision,test_weighted_avg_recall,test_weighted_avg_f1
VotingClassifier,EnsembleStrategy.weight_voting_soft,"[1.6053973654622604, 0.7255876035088147, 0.29056440675510803, 1.0070550675046246, 1.0476977745070533, 0.5669432130213793, 0.2637798942296484]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), BernoulliNB(alpha=0.05857603724009097, binarize=0.03756792108913587,
            fit_prior=False), ComplementNB(alpha=0.08533942891319435), MultinomialNB(alpha=0.07759048342015018), LogisticRegression(class_weight='balanced', solver='saga')]",0.029824438,lin_variation,nonlin_mod,exp_decay,100,30,5,0.739,0.829,0.815,tfidf,3291308,58,0.999832546,0.999753265,0.999911852,0.999911866,0.999753226,0.999832559,0.999832533,0.999665105,56732,56732,113464,0.999832559,0.999832546,0.999832546,0.999832559,0.999832546,0.999832546,0.970889958,0.966914849,0.974933333,0.97514674,0.966633176,0.971013348,0.970765513,0.941814049,18911,18911,37822,0.970924091,0.970889958,0.970889431,0.970924091,0.970889958,0.970889431
VotingClassifier,EnsembleStrategy.weight_voting_soft,"[1.4275166522898146, 1.1101219114731575, 0.7610948130769938, 0.07173260999381852, 0.679110880036763, 1.1170589117579808, 0.23678754414119527]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), BernoulliNB(alpha=0.05857603724009097, binarize=0.03756792108913587,
            fit_prior=False), ComplementNB(alpha=0.08533942891319435), MultinomialNB(alpha=0.07759048342015018), LogisticRegression(class_weight='balanced', solver='saga')]",0.030670521,lin_variation,nonlin_mod,exp_decay,100,30,5,0.739,0.829,0.815,tfidf,3205977,49,0.999938306,0.999947119,0.999929494,0.999929493,0.99994712,0.999938306,0.999938307,0.999876613,56732,56732,113464,0.999938307,0.999938306,0.999938306,0.999938307,0.999938306,0.999938306,0.970704881,0.966951687,0.974518898,0.974723706,0.966686056,0.970822141,0.970586674,0.941440172,18911,18911,37822,0.970735292,0.970704881,0.970704408,0.970735292,0.970704881,0.970704408
VotingClassifier,EnsembleStrategy.weight_voting_soft,"[1.7117610768134577, 0.7876273300263938, 0.7192044322100231, -0.0005640093806793796, 0.8061530616261937, 1.118393207930594, 0.12686786910597733]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), BernoulliNB(alpha=0.05857603724009097, binarize=0.03756792108913587,
            fit_prior=False), ComplementNB(alpha=0.08533942891319435), MultinomialNB(alpha=0.07759048342015018), LogisticRegression(class_weight='balanced', solver='saga')]",0.03370232,lin_variation,nonlin_mod,exp_decay,100,30,5,0.739,0.829,0.815,tfidf,3229455,50,0.99994712,0.99994712,0.99994712,0.99994712,0.99994712,0.99994712,0.99994712,0.99989424,56732,56732,113464,0.99994712,0.99994712,0.99994712,0.99994712,0.99994712,0.99994712,0.970519803,0.96644999,0.974661261,0.974882344,0.966157263,0.970647853,0.970390631,0.941075428,18911,18911,37822,0.970555625,0.970519803,0.970519242,0.970555625,0.970519803,0.970519242
VotingClassifier,EnsembleStrategy.weight_voting_soft,"[0.991568378000255, 1.0977108306715122, 0.9712651284108418, 0.07823531525166158, 0.8372954723993244, 1.0123906669101634, 0.35016725978503416]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), BernoulliNB(alpha=0.05857603724009097, binarize=0.03756792108913587,
            fit_prior=False), ComplementNB(alpha=0.08533942891319435), MultinomialNB(alpha=0.07759048342015018), LogisticRegression(class_weight='balanced', solver='saga')]",0.031481351,lin_variation,nonlin_mod,exp_decay,100,30,5,0.739,0.829,0.815,tfidf,3215755,47,0.999885426,0.999823754,0.999947113,0.99994712,0.999823733,0.999885433,0.999885419,0.99977086,56732,56732,113464,0.999885434,0.999885426,0.999885426,0.999885434,0.999885426,0.999885426,0.970387605,0.966734876,0.974097959,0.974300672,0.966474539,0.970503029,0.970271275,0.940804022,18911,18911,37822,0.970416417,0.970387605,0.970387152,0.970416417,0.970387605,0.970387152
VotingClassifier,EnsembleStrategy.weight_voting_soft,"[0.9861994127125195, 0.9058998057480517, 1.1100635243294494, 0.14808288559867366, 0.7948986228562743, 0.2040718616763409, -0.2607766775249547]","[SGDClassifier(class_weight='balanced', eta0=0.2476923834458562,
              learning_rate='adaptive', loss='modified_huber', penalty=None), WrapperForPAC(class_weight='balanced'), WrapperForLinearSVC(class_weight='balanced'), BernoulliNB(alpha=0.05857603724009097, binarize=0.03756792108913587,
            fit_prior=False), ComplementNB(alpha=0.08533942891319435), MultinomialNB(alpha=0.07759048342015018), LogisticRegression(class_weight='balanced', solver='saga')]",0.032256927,lin_variation,nonlin_mod,exp_decay,100,30,5,0.739,0.829,0.815,tfidf,3215977,46,0.999982373,1,0.999964748,0.999964747,1,0.999982373,0.999982374,0.999964747,56732,56732,113464,0.999982374,0.999982373,0.999982373,0.999982374,0.999982373,0.999982373,0.970228967,0.966920452,0.973584705,0.973771879,0.966686056,0.970334071,0.970123116,0.940481545,18911,18911,37822,0.970252578,0.970228967,0.970228594,0.970252578,0.970228967,0.970228594
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.970546243,0.96679437,0.974359231,0.974565068,0.966527418,0.970664088,0.970427442,0.941123043,18911,18911,37822,0.970576801,0.970546243,0.970545765,0.970576801,0.970546243,0.970545765
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[1.4275166522898146, 1.1101219114731575, 0.7610948130769938, 0.07173260999381852, 0.679110880036763, 1.1170589117579808, 0.23678754414119527]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[1.6053973654622604, 0.7255876035088147, 0.29056440675510803, 1.0070550675046246, 1.0476977745070533, 0.5669432130213793, 0.2637798942296484]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.9861994127125195, 0.9058998057480517, 1.1100635243294494, 0.14808288559867366, 0.7948986228562743, 0.2040718616763409, -0.2607766775249547]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[1.7117610768134577, 0.7876273300263938, 0.7192044322100231, -0.0005640093806793796, 0.8061530616261937, 1.118393207930594, 0.12686786910597733]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
