algorithm,features,training_time,testing_time,best_estimator,train_accuracy,train_precision_0,train_precision_1,train_recall_0,train_recall_1,train_f1_0,train_f1_1,train_mcc,train_support_0,train_support_1,train_support,train_macro_avg_precision,train_macro_avg_recall,train_macro_avg_f1,train_weighted_avg_precision,train_weighted_avg_recall,train_weighted_avg_f1,test_accuracy,test_precision_0,test_precision_1,test_recall_0,test_recall_1,test_f1_0,test_f1_1,test_mcc,test_support_0,test_support_1,test_support,test_macro_avg_precision,test_macro_avg_recall,test_macro_avg_f1,test_weighted_avg_precision,test_weighted_avg_recall,test_weighted_avg_f1
SGDClassifier,tfidf,2315,3,,1,1,1,1,1,1,1,1,56732,56732,113464,1,1,1,1,1,1,0.968193115,0.961722987,0.974847152,0.975199619,0.961186611,0.96841442,0.967968688,0.93647818,18911,18911,37822,0.96828507,0.968193115,0.968191554,0.96828507,0.968193115,0.968191554
SGDClassifier,tfidf,2367,2,,1,1,1,1,1,1,1,1,56732,56732,113464,1,1,1,1,1,1,0.966474539,0.961206671,0.971864135,0.972185501,0.960763577,0.966664914,0.966281976,0.93300994,18911,18911,37822,0.966535403,0.966474539,0.966473445,0.966535403,0.966474539,0.966473445
SGDClassifier,tfidf,2657,2,,1,1,1,1,1,1,1,1,56732,56732,113464,1,1,1,1,1,1,0.967214849,0.96135972,0.973220502,0.973560362,0.960869335,0.967421575,0.967005481,0.934504957,18911,18911,37822,0.967290111,0.967214849,0.967213528,0.967290111,0.967214849,0.967213528
SGDClassifier,tfidf,2265,3,,1,1,1,1,1,1,1,1,56732,56732,113464,1,1,1,1,1,1,0.966130823,0.960553814,0.971844556,0.972185501,0.960076146,0.966334656,0.965924507,0.932330006,18911,18911,37822,0.966199185,0.966130823,0.966129582,0.966199185,0.966130823,0.966129582
SGDClassifier,tfidf,2714,2,,1,1,1,1,1,1,1,1,56732,56732,113464,1,1,1,1,1,1,0.966527418,0.961451959,0.971715768,0.972026863,0.961027973,0.966710492,0.966342319,0.933111279,18911,18911,37822,0.966583863,0.966527418,0.966526406,0.966583863,0.966527418,0.966526406
SGDClassifier,tfidf,2652,3,,1,1,1,1,1,1,1,1,56732,56732,113464,1,1,1,1,1,1,0.966051504,0.961125935,0.971083436,0.971392311,0.960710697,0.966231854,0.965869219,0.932156188,18911,18911,37822,0.966104686,0.966051504,0.966050536,0.966104686,0.966051504,0.966050536
SGDClassifier,tfidf,2375,2,,1,1,1,1,1,1,1,1,56732,56732,113464,1,1,1,1,1,1,0.966527418,0.961017923,0.97217019,0.972502776,0.96055206,0.966726241,0.966326205,0.933121472,18911,18911,37822,0.966594057,0.966527418,0.966526223,0.966594057,0.966527418,0.966526223
SGDClassifier,tfidf,2764,2,,1,1,1,1,1,1,1,1,56732,56732,113464,1,1,1,1,1,1,0.96562847,0.961576768,0.969751934,0.97001745,0.96123949,0.965778667,0.965476949,0.93129282,18911,18911,37822,0.965664351,0.96562847,0.965627808,0.965664351,0.96562847,0.965627808
SGDClassifier,tfidf,2609,2,,1,1,1,1,1,1,1,1,56732,56732,113464,1,1,1,1,1,1,0.966606737,0.961265029,0.972073614,0.972397018,0.960816456,0.96679898,0.966412254,0.933276056,18911,18911,37822,0.966669322,0.966606737,0.966605617,0.966669322,0.966606737,0.966605617
SGDClassifier,tfidf,2796,2,,1,1,1,1,1,1,1,1,56732,56732,113464,1,1,1,1,1,1,0.965152557,0.960670333,0.96972286,0.97001745,0.960287663,0.965321265,0.964982199,0.930349152,18911,18911,37822,0.965196596,0.965152557,0.965151732,0.965196596,0.965152557,0.965151732
